FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/mkc.mps.gz
SETTINGS:   settings_final_nopeek_norelabel_extend_norestarts
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_final_nopeek_norelabel_extend_norestarts__0__
BINNAME:    bin/sbcs.linux.x86_64.gnu.opt.cpx
BASENAME:   mkc.mps.gz
SEED:       0
@01 /home/mcs001/s132664/testsets/IP/miplib2017/mkc.mps.gz ===========
@02 mkc.mps.gz
@03 1686649298
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symretope propagation methods - (c) Jasper van Doornmalen, Christopher Hojny.
[GitHash: 2fd0484]

reading parameter file <../settings/settings_final_nopeek_norelabel_extend_norestarts.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
misc/usesymmetry = 1
constraints/orbisack/sepafreq = -1
constraints/symresack/sepafreq = -1
propagating/symmetry/addsymresacks = TRUE
propagating/symmetry/detectsubgroups = FALSE
propagating/symmetry/relabelsymretopes = 0
propagating/symmetry/extendgenerators = TRUE
propagating/symmetry/ofsymcomptiming = 0
constraints/symretope/sepafreq = -1
constraints/symretope/peek = FALSE


solving problem ...

original problem has 5325 variables (5323 bin, 0 int, 0 impl, 2 cont) and 3411 constraints
feasible solution found by trivial heuristic after 0.0 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       1992 del vars, 2123 del conss, 1 add conss, 70 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 547 clqs
(round 2, fast)       2052 del vars, 2124 del conss, 2 add conss, 70 chg bounds, 2 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 547 clqs
(round 3, exhaustive) 2052 del vars, 2125 del conss, 2 add conss, 70 chg bounds, 3 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 547 clqs
(round 4, exhaustive) 2052 del vars, 2125 del conss, 2 add conss, 70 chg bounds, 3 chg sides, 0 chg coeffs, 1261 upgd conss, 0 impls, 547 clqs
(round 5, exhaustive) 2052 del vars, 2126 del conss, 2 add conss, 70 chg bounds, 4 chg sides, 0 chg coeffs, 1261 upgd conss, 0 impls, 547 clqs
   (0.4s) probing: 1000/3272 (30.6%) - 0 fixings, 0 aggregations, 34969 implications, 0 bound changes
   (0.4s) probing: 1001/3272 (30.6%) - 0 fixings, 0 aggregations, 35026 implications, 0 bound changes
   (0.4s) probing aborted: 1000/1000 successive useless probings
   (0.4s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.5s) symmetry computation finished: 194 generators found (max: 1500, log10 of symmetry group size: 76.8)
(round 6, exhaustive) 2052 del vars, 2126 del conss, 257 add conss, 70 chg bounds, 4 chg sides, 0 chg coeffs, 1261 upgd conss, 623 impls, 547 clqs
(round 7, exhaustive) 2052 del vars, 2127 del conss, 258 add conss, 70 chg bounds, 6 chg sides, 0 chg coeffs, 1261 upgd conss, 623 impls, 547 clqs
presolving (8 rounds: 8 fast, 6 medium, 6 exhaustive):
 2052 deleted vars, 2127 deleted constraints, 258 added constraints, 70 tightened bounds, 0 added holes, 6 changed sides, 0 changed coefficients
 623 implications, 547 cliques
presolved problem has 3273 variables (3272 bin, 0 int, 0 impl, 1 cont) and 1542 constraints
     24 constraints of type <knapsack>
   1237 constraints of type <setppc>
     26 constraints of type <linear>
    155 constraints of type <orbisack>
     61 constraints of type <orbitope>
     39 constraints of type <symretope>
transformed objective value is always integral (scale: 0.002)
Presolving Time: 0.58
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.7s|     1 |     0 |   498 |     - |    62M |   0 |3273 |1542 |1528 |   0 |  0 |   0 |   0 |-6.118500e+02 | 0.000000e+00 |    Inf | unknown
r 0.7s|     1 |     0 |   498 |     - |shifting|   0 |3273 |1542 |1528 |   0 |  0 |   0 |   0 |-6.118500e+02 |-2.452300e+02 | 149.50%| unknown
i 0.7s|     1 |     0 |   571 |     - |  oneopt|   0 |3273 |1542 |1528 |   0 |  0 |   0 |   0 |-6.118500e+02 |-2.773600e+02 | 120.60%| unknown
  0.7s|     1 |     0 |   678 |     - |    64M |   0 |3273 |1542 |1547 |  19 |  1 |   0 |   0 |-6.118500e+02 |-2.773600e+02 | 120.60%| unknown
r 0.8s|     1 |     0 |   678 |     - |shifting|   0 |3273 |1542 |1547 |  19 |  1 |   0 |   0 |-6.118500e+02 |-2.900300e+02 | 110.96%| unknown
  0.8s|     1 |     0 |   742 |     - |    65M |   0 |3273 |1542 |1566 |  38 |  2 |   0 |   0 |-6.118500e+02 |-2.900300e+02 | 110.96%| unknown
  0.9s|     1 |     0 |   824 |     - |    66M |   0 |3273 |1542 |1588 |  60 |  3 |   0 |   0 |-6.118500e+02 |-2.900300e+02 | 110.96%| unknown
r 0.9s|     1 |     0 |   824 |     - |shifting|   0 |3273 |1543 |1588 |  60 |  3 |   1 |   0 |-6.118500e+02 |-3.134700e+02 |  95.19%| unknown
  0.9s|     1 |     0 |   878 |     - |    68M |   0 |3273 |1543 |1612 |  84 |  4 |   1 |   0 |-6.114790e+02 |-3.134700e+02 |  95.07%| unknown
  1.0s|     1 |     0 |   941 |     - |    69M |   0 |3273 |1543 |1633 | 105 |  5 |   1 |   0 |-6.114790e+02 |-3.134700e+02 |  95.07%| unknown
  1.0s|     1 |     0 |  1022 |     - |    70M |   0 |3273 |1543 |1654 | 126 |  6 |   1 |   0 |-6.114790e+02 |-3.134700e+02 |  95.07%| unknown
  1.1s|     1 |     0 |  1140 |     - |    71M |   0 |3273 |1545 |1674 | 146 |  7 |   3 |   0 |-6.114750e+02 |-3.134700e+02 |  95.07%| unknown
r 1.1s|     1 |     0 |  1140 |     - |shifting|   0 |3273 |1545 |1674 | 146 |  7 |   3 |   0 |-6.114750e+02 |-3.202500e+02 |  90.94%| unknown
  1.2s|     1 |     0 |  1219 |     - |    73M |   0 |3273 |1545 |1694 | 166 |  8 |   3 |   0 |-6.114216e+02 |-3.202500e+02 |  90.92%| unknown
r 1.2s|     1 |     0 |  1219 |     - |shifting|   0 |3273 |1545 |1694 | 166 |  8 |   3 |   0 |-6.114216e+02 |-3.307500e+02 |  84.86%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  1.2s|     1 |     0 |  1333 |     - |    74M |   0 |3273 |1545 |1713 | 185 |  9 |   3 |   0 |-6.079779e+02 |-3.307500e+02 |  83.82%| unknown
  1.3s|     1 |     0 |  1407 |     - |    76M |   0 |3273 |1545 |1493 | 205 | 10 |   3 |   0 |-6.072539e+02 |-3.307500e+02 |  83.60%| unknown
  1.4s|     1 |     0 |  1480 |     - |    76M |   0 |3273 |1546 |1511 | 223 | 11 |   4 |   0 |-6.072500e+02 |-3.307500e+02 |  83.60%| unknown
  1.4s|     1 |     0 |  1547 |     - |    77M |   0 |3273 |1546 |1527 | 239 | 12 |   4 |   0 |-6.069306e+02 |-3.307500e+02 |  83.50%| unknown
  1.4s|     1 |     0 |  1590 |     - |    77M |   0 |3273 |1547 |1540 | 252 | 13 |   5 |   0 |-6.063925e+02 |-3.307500e+02 |  83.34%| unknown
r 1.5s|     1 |     0 |  1590 |     - |shifting|   0 |3273 |1547 |1540 | 252 | 13 |   5 |   0 |-6.063925e+02 |-3.462500e+02 |  75.13%| unknown
