FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-933562.mps.gz
SETTINGS:   settings_final_nopeek_norelabel_extend_norestarts
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_final_nopeek_norelabel_extend_norestarts__3__
BINNAME:    bin/sbcs.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-933562.mps.gz
SEED:       3
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-933562.mps.gz ===========
@02 neos-933562.mps.gz
@03 1686663723
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symretope propagation methods - (c) Jasper van Doornmalen, Christopher Hojny.
[GitHash: 2fd0484]

reading parameter file <../settings/settings_final_nopeek_norelabel_extend_norestarts.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
misc/usesymmetry = 1
randomization/randomseedshift = 3
constraints/orbisack/sepafreq = -1
constraints/symresack/sepafreq = -1
propagating/symmetry/addsymresacks = TRUE
propagating/symmetry/detectsubgroups = FALSE
propagating/symmetry/relabelsymretopes = 0
propagating/symmetry/extendgenerators = TRUE
propagating/symmetry/ofsymcomptiming = 0
constraints/symretope/sepafreq = -1
constraints/symretope/peek = FALSE


solving problem ...

original problem has 3032 variables (3024 bin, 0 int, 0 impl, 8 cont) and 3200 constraints
presolving:
(round 1, fast)       1512 del vars, 1512 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 644 clqs
(round 2, exhaustive) 1512 del vars, 2064 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 644 clqs
(round 3, exhaustive) 1512 del vars, 2064 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 644 clqs
(round 4, medium)     1568 del vars, 2120 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 616 clqs
(round 5, medium)     1624 del vars, 2176 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 645 clqs
(round 6, medium)     1680 del vars, 2232 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 672 clqs
(round 7, medium)     1736 del vars, 2288 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 699 clqs
(round 8, medium)     1792 del vars, 2344 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 670 clqs
(round 9, medium)     1848 del vars, 2400 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 534 clqs
(round 10, fast)       1848 del vars, 2428 del conss, 0 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 562 clqs
   (0.1s) probing: 51/1184 (4.3%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.1s) probing aborted: 50/50 successive totally useless probings
   (0.1s) symmetry computation started: requiring (bin +, int +, cont +), (fixed: bin -, int -, cont -)
   (0.1s) symmetry computation finished: 10 generators found (max: 1500, log10 of symmetry group size: 4.5)
(round 11, exhaustive) 1851 del vars, 2428 del conss, 51 add conss, 0 chg bounds, 36 chg sides, 0 chg coeffs, 1136 upgd conss, 0 impls, 561 clqs
   (0.2s) probing: 56/1184 (4.7%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.2s) probing aborted: 50/50 successive totally useless probings
presolving (12 rounds: 12 fast, 10 medium, 4 exhaustive):
 1851 deleted vars, 2428 deleted constraints, 51 added constraints, 0 tightened bounds, 0 added holes, 36 changed sides, 0 changed coefficients
 0 implications, 561 cliques
presolved problem has 1181 variables (1173 bin, 0 int, 8 impl, 0 cont) and 823 constraints
    492 constraints of type <knapsack>
    280 constraints of type <setppc>
     32 constraints of type <orbisack>
      3 constraints of type <orbitope>
     16 constraints of type <symretope>
transformed objective value is always integral (scale: 3)
Presolving Time: 0.15

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.3s|     1 |     0 |  1300 |     - |    39M |   0 |1181 | 863 | 863 |   0 |  0 |  41 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.8s|     1 |     0 |  3829 |     - |    40M |   0 |1181 | 870 | 867 |   4 |  1 |  48 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.9s|     1 |     0 |  4860 |     - |    40M |   0 |1181 | 870 | 873 |  10 |  2 |  49 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.0s|     1 |     0 |  5374 |     - |    41M |   0 |1181 | 874 | 878 |  15 |  3 |  53 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.1s|     1 |     0 |  5794 |     - |    41M |   0 |1181 | 879 | 881 |  18 |  4 |  58 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  6058 |     - |    42M |   0 |1181 | 887 | 884 |  21 |  5 |  66 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.2s|     1 |     0 |  6247 |     - |    42M |   0 |1181 | 892 | 887 |  24 |  6 |  71 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.3s|     1 |     0 |  6649 |     - |    42M |   0 |1181 | 896 | 889 |  26 |  7 |  75 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.4s|     1 |     0 |  7439 |     - |    42M |   0 |1181 | 901 | 893 |  30 |  8 |  80 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.5s|     1 |     0 |  7962 |     - |    42M |   0 |1181 | 904 | 899 |  36 |  9 |  83 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.6s|     1 |     0 |  8233 |     - |    43M |   0 |1181 | 907 | 906 |  43 | 10 |  86 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  1.7s|     1 |     0 |  8672 |     - |    43M |   0 |1181 | 910 | 915 |  52 | 11 |  89 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  3.7s|     1 |     2 | 11389 |     - |    43M |   0 |1181 | 917 | 915 |  52 | 11 |  96 |  11 | 0.000000e+00 |      --      |    Inf | unknown
d 8.2s|    21 |    22 | 39406 |1536.7 |distribu|   9 |1181 | 950 | 797 |   0 |  1 | 129 |  49 | 0.000000e+00 | 2.400000e+01 |    Inf | unknown
 28.3s|   100 |    99 |136418 |1290.4 |    62M |  17 |1181 |1013 | 807 | 193 |  1 | 192 | 265 | 0.000000e+00 | 2.400000e+01 |    Inf |   1.22%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
o46.7s|   184 |   183 |268556 |1420.1 |rootsold|  17 |1181 |1072 | 811 | 515 |  1 | 264 | 379 | 0.000000e+00 | 2.100000e+01 |    Inf |   1.22%
 51.7s|   200 |   199 |304098 |1484.6 |    96M |  17 |1181 |1098 | 798 | 617 |  1 | 290 | 406 | 0.000000e+00 | 2.100000e+01 |    Inf |   1.23%
 72.7s|   300 |   299 |455104 |1493.1 |   103M |  17 |1181 |1412 | 816 | 950 |  6 | 604 | 506 | 0.000000e+00 | 2.100000e+01 |    Inf |   1.28%
  108s|   400 |   399 |704473 |1743.9 |   110M |  17 |1181 |1808 | 799 |1448 |  1 |1009 | 636 | 0.000000e+00 | 2.100000e+01 |    Inf |   1.64%
  134s|   500 |   499 |909672 |1805.6 |   118M |  17 |1181 |2488 | 815 |1836 |  1 |1704 | 749 | 0.000000e+00 | 2.100000e+01 |    Inf |   1.99%
  153s|   600 |   599 |  1072k|1775.3 |   120M |  18 |1181 |3345 | 805 |2021 |  1 |2595 | 825 | 0.000000e+00 | 2.100000e+01 |    Inf |   2.31%
  178s|   700 |   699 |  1284k|1825.7 |   123M |  18 |1181 |4007 | 806 |2465 |  1 |3314 | 915 | 0.000000e+00 | 2.100000e+01 |    Inf |   2.45%
d 188s|   773 |   772 |  1392k|1793.1 |veclendi|  19 |1181 |3899 | 811 |   0 |  1 |3838 | 917 | 0.000000e+00 | 1.800000e+01 |    Inf |   2.60%
  193s|   800 |   799 |  1446k|1799.7 |   123M |  19 |1181 |4042 | 804 |2660 |  1 |4031 | 919 | 0.000000e+00 | 1.800000e+01 |    Inf |   2.70%
  206s|   900 |   899 |  1581k|1749.6 |   123M |  19 |1181 |4440 | 797 |2721 |  1 |4569 | 921 | 0.000000e+00 | 1.800000e+01 |    Inf |   2.86%
