FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/go19.mps.gz
SETTINGS:   settings_final_nosym_norestarts
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_final_nosym_norestarts__2__
BINNAME:    bin/sbcs.linux.x86_64.gnu.opt.cpx
BASENAME:   go19.mps.gz
SEED:       2
@01 /home/mcs001/s132664/testsets/IP/miplib2010/go19.mps.gz ===========
@02 go19.mps.gz
@03 1686656480
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symretope propagation methods - (c) Jasper van Doornmalen, Christopher Hojny.
[GitHash: 2fd0484]

reading parameter file <../settings/settings_final_nosym_norestarts.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
misc/usesymmetry = 0
randomization/randomseedshift = 2
constraints/orbisack/sepafreq = -1
constraints/symresack/sepafreq = -1
propagating/symmetry/detectsubgroups = FALSE
propagating/symmetry/usesymretopes = FALSE
propagating/symmetry/relabelsymretopes = 0
propagating/symmetry/ofsymcomptiming = 0
constraints/symretope/sepafreq = -1
constraints/symretope/peek = FALSE


solving problem ...

original problem has 441 variables (441 bin, 0 int, 0 impl, 0 cont) and 441 constraints
presolving:
(round 1, fast)       80 del vars, 80 del conss, 0 add conss, 80 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, exhaustive) 80 del vars, 80 del conss, 0 add conss, 80 chg bounds, 0 chg sides, 0 chg coeffs, 361 upgd conss, 0 impls, 0 clqs
   (0.0s) probing: 51/361 (14.1%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
presolving (3 rounds: 3 fast, 2 medium, 2 exhaustive):
 80 deleted vars, 80 deleted constraints, 0 added constraints, 80 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 0 implications, 0 cliques
presolved problem has 361 variables (361 bin, 0 int, 0 impl, 0 cont) and 361 constraints
    361 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.00

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
t 0.0s|     1 |     0 |     0 |     - | trivial|   0 | 361 | 361 |   0 |   0 |  0 |   0 |   0 | 0.000000e+00 | 3.610000e+02 |    Inf | unknown
p 0.0s|     1 |     0 |     0 |     - |   locks|   0 | 361 | 361 | 361 |   0 |  0 |   0 |   0 | 0.000000e+00 | 9.700000e+01 |    Inf | unknown
  0.0s|     1 |     0 |    71 |     - |  3547k |   0 | 361 | 361 | 361 |   0 |  0 |   0 |   0 | 7.653022e+01 | 9.700000e+01 |  26.75%| unknown
  0.1s|     1 |     0 |    81 |     - |  6989k |   0 | 361 | 361 | 366 |   5 |  1 |   0 |   0 | 7.661406e+01 | 9.700000e+01 |  26.61%| unknown
  0.1s|     1 |     0 |   123 |     - |  9806k |   0 | 361 | 361 | 369 |   8 |  2 |   0 |   0 | 7.685436e+01 | 9.700000e+01 |  26.21%| unknown
  0.1s|     1 |     0 |   153 |     - |    13M |   0 | 361 | 361 | 370 |   9 |  3 |   0 |   0 | 7.695177e+01 | 9.700000e+01 |  26.05%| unknown
  0.2s|     1 |     0 |   178 |     - |    14M |   0 | 361 | 361 | 372 |  11 |  4 |   0 |   0 | 7.698553e+01 | 9.700000e+01 |  26.00%| unknown
  0.2s|     1 |     0 |   207 |     - |    16M |   0 | 361 | 361 | 374 |  13 |  5 |   0 |   0 | 7.701548e+01 | 9.700000e+01 |  25.95%| unknown
  0.3s|     1 |     0 |   234 |     - |    19M |   0 | 361 | 361 | 375 |  14 |  6 |   0 |   0 | 7.704427e+01 | 9.700000e+01 |  25.90%| unknown
  0.4s|     1 |     0 |   253 |     - |    20M |   0 | 361 | 361 | 376 |  15 |  7 |   0 |   0 | 7.705421e+01 | 9.700000e+01 |  25.89%| unknown
  0.4s|     1 |     0 |   280 |     - |    22M |   0 | 361 | 361 | 378 |  17 |  8 |   0 |   0 | 7.706439e+01 | 9.700000e+01 |  25.87%| unknown
  0.5s|     1 |     0 |   312 |     - |    23M |   0 | 361 | 361 | 379 |  18 |  9 |   0 |   0 | 7.707897e+01 | 9.700000e+01 |  25.84%| unknown
  0.6s|     1 |     0 |   341 |     - |    27M |   0 | 361 | 361 | 380 |  19 | 10 |   0 |   0 | 7.708347e+01 | 9.700000e+01 |  25.84%| unknown
  0.6s|     1 |     0 |   373 |     - |    27M |   0 | 361 | 361 | 383 |  22 | 11 |   0 |   0 | 7.709438e+01 | 9.700000e+01 |  25.82%| unknown
  0.7s|     1 |     0 |   381 |     - |    27M |   0 | 361 | 361 | 384 |  23 | 12 |   0 |   0 | 7.709556e+01 | 9.700000e+01 |  25.82%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.7s|     1 |     0 |   395 |     - |    27M |   0 | 361 | 361 | 385 |  24 | 13 |   0 |   0 | 7.709940e+01 | 9.700000e+01 |  25.81%| unknown
  0.8s|     1 |     0 |   414 |     - |    27M |   0 | 361 | 361 | 386 |  25 | 14 |   0 |   0 | 7.710205e+01 | 9.700000e+01 |  25.81%| unknown
  0.9s|     1 |     0 |   464 |     - |    27M |   0 | 361 | 361 | 394 |  33 | 15 |   0 |   0 | 7.715329e+01 | 9.700000e+01 |  25.72%| unknown
  0.9s|     1 |     0 |   484 |     - |    27M |   0 | 361 | 361 | 395 |  34 | 16 |   0 |   0 | 7.715579e+01 | 9.700000e+01 |  25.72%| unknown
  1.0s|     1 |     0 |   526 |     - |    27M |   0 | 361 | 361 | 400 |  41 | 17 |   0 |   0 | 7.722479e+01 | 9.700000e+01 |  25.61%| unknown
  1.1s|     1 |     0 |   577 |     - |    27M |   0 | 361 | 361 | 408 |  49 | 18 |   0 |   0 | 7.728973e+01 | 9.700000e+01 |  25.50%| unknown
  1.1s|     1 |     0 |   611 |     - |    27M |   0 | 361 | 361 | 411 |  52 | 19 |   0 |   0 | 7.731051e+01 | 9.700000e+01 |  25.47%| unknown
  1.2s|     1 |     0 |   648 |     - |    27M |   0 | 361 | 361 | 416 |  57 | 20 |   0 |   0 | 7.734574e+01 | 9.700000e+01 |  25.41%| unknown
  1.8s|     1 |     2 |   648 |     - |    27M |   0 | 361 | 361 | 416 |  57 | 22 |   0 |  47 | 7.740276e+01 | 9.700000e+01 |  25.32%| unknown
d 4.9s|    15 |    16 |  2283 | 116.8 |pscostdi|  14 | 361 | 361 | 401 |   0 |  1 |   0 | 363 | 7.767750e+01 | 9.200000e+01 |  18.44%| unknown
o11.5s|    88 |    89 | 14412 | 158.2 |objpscos|  21 | 361 | 361 | 427 | 207 |  1 |  13 | 817 | 7.777287e+01 | 8.500000e+01 |   9.29%| unknown
 11.6s|   100 |   101 | 15293 | 147.9 |    47M |  26 | 361 | 361 | 421 | 215 |  1 |  13 | 817 | 7.777287e+01 | 8.500000e+01 |   9.29%| unknown
 13.5s|   200 |   201 | 27030 | 132.6 |    48M |  27 | 361 | 378 | 425 | 390 |  2 |  38 | 839 | 7.797957e+01 | 8.500000e+01 |   9.00%| unknown
 15.4s|   300 |   301 | 40745 | 134.1 |    47M |  27 | 361 | 397 | 428 | 544 |  1 |  63 | 839 | 7.802009e+01 | 8.500000e+01 |   8.95%| unknown
 17.3s|   400 |   401 | 52587 | 130.2 |    47M |  27 | 361 | 418 | 442 | 746 |  1 |  88 | 839 | 7.802009e+01 | 8.500000e+01 |   8.95%| unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 19.2s|   500 |   501 | 65050 | 129.1 |    48M |  27 | 361 | 438 | 450 | 982 |  1 | 113 | 839 | 7.807312e+01 | 8.500000e+01 |   8.87%| unknown
d20.5s|   556 |   557 | 74743 | 133.5 |pscostdi|  27 | 361 | 452 | 441 |   0 |  1 | 127 | 839 | 7.812095e+01 | 8.400000e+01 |   7.53%| unknown
 21.7s|   600 |   601 | 81711 | 135.3 |    48M |  28 | 361 | 480 | 421 |1252 |  1 | 159 | 839 | 7.812095e+01 | 8.400000e+01 |   7.53%| unknown
 26.5s|   700 |   701 |113090 | 160.9 |    50M |  28 | 361 | 561 | 437 |1685 |  1 | 262 | 847 | 7.845292e+01 | 8.400000e+01 |   7.07%| unknown
 31.4s|   800 |   801 |138505 | 172.5 |    51M |  28 | 361 | 609 | 433 |2080 |  1 | 327 | 887 | 7.861814e+01 | 8.400000e+01 |   6.85%| unknown
 37.8s|   900 |   901 |169326 | 187.6 |    53M |  28 | 361 | 656 | 466 |2793 |  1 | 407 | 938 | 7.861814e+01 | 8.400000e+01 |   6.85%| unknown
 43.5s|  1000 |  1001 |196779 | 196.3 |    57M |  28 | 361 | 668 | 463 |3379 |  1 | 460 | 967 | 7.875575e+01 | 8.400000e+01 |   6.66%| unknown
Restart triggered after 50 consecutive estimations that the remaining tree will be large
 48.8s|  1100 |  1101 |219793 | 199.4 |    58M |  33 | 361 | 709 | 466 |3992 |  1 | 525 |1004 | 7.879065e+01 | 8.400000e+01 |   6.61%| unknown
 52.4s|  1200 |  1191 |238849 | 198.7 |    59M |  33 | 361 | 740 | 479 |4375 |  1 | 569 |1033 | 7.881343e+01 | 8.400000e+01 |   6.58%| unknown
 53.6s|  1300 |  1215 |246147 | 189.0 |    60M |  38 | 361 | 751 | 486 |4512 |  1 | 600 |1052 | 7.887620e+01 | 8.400000e+01 |   6.50%| unknown
 55.0s|  1400 |  1239 |254674 | 181.6 |    60M |  38 | 361 | 754 | 484 |4646 |  1 | 626 |1059 | 7.888419e+01 | 8.400000e+01 |   6.49%| unknown
 56.9s|  1500 |  1275 |267336 | 177.9 |    60M |  38 | 361 | 748 | 512 |4811 |  1 | 644 |1065 | 7.889358e+01 | 8.400000e+01 |   6.47%| unknown
