FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/neos-820157.mps.gz
SETTINGS:   settings_final_nosym_norestarts
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_final_nosym_norestarts__2__
BINNAME:    bin/sbcs.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-820157.mps.gz
SEED:       2
@01 /home/mcs001/s132664/testsets/IP/miplib2010/neos-820157.mps.gz ===========
@02 neos-820157.mps.gz
@03 1686656480
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symretope propagation methods - (c) Jasper van Doornmalen, Christopher Hojny.
[GitHash: 2fd0484]

reading parameter file <../settings/settings_final_nosym_norestarts.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
misc/usesymmetry = 0
randomization/randomseedshift = 2
constraints/orbisack/sepafreq = -1
constraints/symresack/sepafreq = -1
propagating/symmetry/detectsubgroups = FALSE
propagating/symmetry/usesymretopes = FALSE
propagating/symmetry/relabelsymretopes = 0
propagating/symmetry/ofsymcomptiming = 0
constraints/symretope/sepafreq = -1
constraints/symretope/peek = FALSE


solving problem ...

original problem has 1200 variables (1200 bin, 0 int, 0 impl, 0 cont) and 1015 constraints
presolving:
(round 1, exhaustive) 0 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 260 clqs
(round 2, exhaustive) 0 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
(round 3, fast)       674 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
(round 4, medium)     675 del vars, 55 del conss, 0 add conss, 0 chg bounds, 1 chg sides, 1 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
   (0.0s) probing: 340/525 (64.8%) - 0 fixings, 0 aggregations, 450 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
presolving (5 rounds: 5 fast, 4 medium, 3 exhaustive):
 675 deleted vars, 55 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 1 changed sides, 1 changed coefficients
 0 implications, 710 cliques
presolved problem has 525 variables (525 bin, 0 int, 0 impl, 0 cont) and 960 constraints
    260 constraints of type <setppc>
     25 constraints of type <linear>
    675 constraints of type <logicor>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.03

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  0.1s|     1 |     0 |     0 |     - |    10M |   0 | 525 | 992 | 960 |   0 |  0 |  32 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   357 |     - |    11M |   0 | 525 |1040 | 967 |   7 |  1 |  33 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.2s|     1 |     0 |   413 |     - |    12M |   0 | 525 |1041 | 976 |  16 |  2 |  34 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.3s|     1 |     0 |   474 |     - |    12M |   0 | 525 |1046 | 991 |  31 |  3 |  39 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.3s|     1 |     0 |   535 |     - |    13M |   0 | 525 |1047 |1004 |  44 |  4 |  40 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.3s|     1 |     0 |   595 |     - |    14M |   0 | 525 |1048 |1014 |  54 |  5 |  41 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.4s|     1 |     0 |   667 |     - |    15M |   0 | 525 |1050 |1023 |  63 |  6 |  43 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.4s|     1 |     0 |   750 |     - |    17M |   0 | 525 |1050 |1032 |  72 |  7 |  43 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.5s|     1 |     0 |   836 |     - |    19M |   0 | 525 |1051 |1041 |  81 |  8 |  44 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.5s|     1 |     0 |  1035 |     - |    20M |   0 | 525 |1052 |1051 |  91 |  9 |  45 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1200 |     - |    22M |   0 | 525 |1053 |1061 | 101 | 10 |  46 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1268 |     - |    22M |   0 | 525 |1054 |1068 | 108 | 11 |  47 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.6s|     1 |     0 |  1305 |     - |    22M |   0 | 525 |1058 |1072 | 112 | 12 |  51 |   0 | 0.000000e+00 |      --      |    Inf | unknown
  0.8s|     1 |     2 |  1734 |     - |    22M |   0 | 525 |1061 |1072 | 112 | 12 |  54 |  13 | 0.000000e+00 |      --      |    Inf | unknown
  2.8s|   100 |   101 | 24947 | 238.8 |    29M |  22 | 525 |1364 |1033 | 273 |  1 | 357 |  13 | 0.000000e+00 |      --      |    Inf | unknown
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  3.4s|   200 |   122 | 31482 | 151.6 |    30M |  33 | 525 |1678 |1044 | 305 |  1 | 672 |  13 | 0.000000e+00 |      --      |    Inf | unknown
