FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/ns1905800.mps.gz
SETTINGS:   settings_final_nosym_norestarts
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_final_nosym_norestarts__2__
BINNAME:    bin/sbcs.linux.x86_64.gnu.opt.cpx
BASENAME:   ns1905800.mps.gz
SEED:       2
@01 /home/mcs001/s132664/testsets/IP/miplib2010/ns1905800.mps.gz ===========
@02 ns1905800.mps.gz
@03 1686656488
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symretope propagation methods - (c) Jasper van Doornmalen, Christopher Hojny.
[GitHash: 2fd0484]

reading parameter file <../settings/settings_final_nosym_norestarts.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
misc/usesymmetry = 0
randomization/randomseedshift = 2
constraints/orbisack/sepafreq = -1
constraints/symresack/sepafreq = -1
propagating/symmetry/detectsubgroups = FALSE
propagating/symmetry/usesymretopes = FALSE
propagating/symmetry/relabelsymretopes = 0
propagating/symmetry/ofsymcomptiming = 0
constraints/symretope/sepafreq = -1
constraints/symretope/peek = FALSE


solving problem ...

original problem has 3228 variables (3030 bin, 3 int, 0 impl, 195 cont) and 8289 constraints
presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10242 chg sides, 10173 chg coeffs, 0 upgd conss, 153 impls, 111 clqs
(round 2, fast)       0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 0 upgd conss, 153 impls, 111 clqs
(round 3, exhaustive) 0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 153 impls, 111 clqs
   (0.2s) sparsify finished: 285/38100 (0.7%) nonzeros canceled - in total 285 canceled nonzeros, 345 changed coefficients, 0 added nonzeros
(round 4, exhaustive) 0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 453 impls, 381 clqs
(round 5, fast)       3 del vars, 69 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 453 impls, 378 clqs
(round 6, fast)       3 del vars, 105 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 453 impls, 378 clqs
(round 7, exhaustive) 28 del vars, 105 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 471 impls, 333 clqs
(round 8, fast)       28 del vars, 130 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 471 impls, 333 clqs
(round 9, exhaustive) 53 del vars, 130 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 471 impls, 258 clqs
(round 10, fast)       53 del vars, 155 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 471 impls, 258 clqs
(round 11, exhaustive) 78 del vars, 155 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 667 impls, 6663 clqs
(round 12, fast)       78 del vars, 195 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 667 impls, 6663 clqs
   (1.3s) probing: 1000/3027 (33.0%) - 90 fixings, 0 aggregations, 52135 implications, 0 bound changes
   (1.6s) probing: 1364/3027 (45.1%) - 90 fixings, 0 aggregations, 74868 implications, 0 bound changes
   (1.6s) probing aborted: 1000/1000 successive useless probings
(round 13, exhaustive) 93 del vars, 195 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 6176 impls, 36684 clqs
(round 14, fast)       93 del vars, 225 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 501 upgd conss, 6176 impls, 36687 clqs
   (2.1s) probing: 2000/3027 (66.1%) - 99 fixings, 0 aggregations, 114004 implications, 0 bound changes
   (2.4s) probing: 2368/3027 (78.2%) - 99 fixings, 0 aggregations, 136476 implications, 0 bound changes
   (2.4s) probing aborted: 1000/1000 successive useless probings
(round 15, exhaustive) 102 del vars, 225 del conss, 0 add conss, 6 chg bounds, 10533 chg sides, 10809 chg coeffs, 504 upgd conss, 11422 impls, 36394 clqs
(round 16, fast)       102 del vars, 303 del conss, 0 add conss, 6 chg bounds, 10536 chg sides, 10812 chg coeffs, 504 upgd conss, 11422 impls, 36394 clqs
(round 17, exhaustive) 102 del vars, 336 del conss, 0 add conss, 9 chg bounds, 10596 chg sides, 10872 chg coeffs, 504 upgd conss, 11422 impls, 36394 clqs
   (2.5s) probing: 2468/3027 (81.5%) - 99 fixings, 0 aggregations, 142827 implications, 0 bound changes
   (2.5s) probing aborted: 1000/1000 successive useless probings
presolving (18 rounds: 18 fast, 9 medium, 9 exhaustive):
 102 deleted vars, 336 deleted constraints, 0 added constraints, 9 tightened bounds, 0 added holes, 10596 changed sides, 10872 changed coefficients
 11930 implications, 36738 cliques
presolved problem has 3126 variables (2928 bin, 3 int, 0 impl, 195 cont) and 7953 constraints
    270 constraints of type <varbound>
    105 constraints of type <setppc>
   7578 constraints of type <linear>
transformed objective value is always integral (scale: 0.001)
Presolving Time: 2.51

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  2.7s|     1 |     0 |   191 |     - |    70M |   0 |3126 |7978 |7953 |   0 |  0 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.6s|     1 |     0 |  5467 |     - |    74M |   0 |3126 |7978 |7982 |  29 |  1 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.6s|     1 |     0 |  5594 |     - |    75M |   0 |3126 |7978 |8009 |  56 |  2 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.7s|     1 |     0 |  5741 |     - |    76M |   0 |3126 |7978 |8025 |  72 |  3 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.8s|     1 |     0 |  5850 |     - |    77M |   0 |3126 |7978 |8045 |  92 |  4 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.8s|     1 |     0 |  5999 |     - |    78M |   0 |3126 |7978 |8061 | 108 |  5 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  4.9s|     1 |     0 |  6209 |     - |    79M |   0 |3126 |7978 |8084 | 131 |  6 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  5.0s|     1 |     0 |  6371 |     - |    81M |   0 |3126 |7978 |8105 | 152 |  7 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  5.0s|     1 |     0 |  6505 |     - |    82M |   0 |3126 |7978 |8122 | 169 |  8 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  5.1s|     1 |     0 |  6639 |     - |    83M |   0 |3126 |7978 |8131 | 178 |  9 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  5.2s|     1 |     0 |  6866 |     - |    84M |   0 |3126 |7978 |8182 | 229 | 10 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  5.3s|     1 |     0 |  7076 |     - |    85M |   0 |3126 |7978 |8213 | 260 | 11 |  24 |   0 | 6.436600e+00 |      --      |    Inf | unknown
  7.3s|     1 |     2 |  9867 |     - |    86M |   0 |3126 |8010 |8213 | 260 | 11 |  56 |  27 | 6.436600e+00 |      --      |    Inf | unknown
 28.6s|   100 |    69 | 18951 | 120.0 |   106M |  23 |3126 |8638 |8059 | 642 |  1 | 736 |1461 | 6.436600e+00 |      --      |    Inf |   0.99%
 40.7s|   200 |   143 | 27583 | 103.1 |   116M |  23 |3126 |8652 |8067 | 833 |  1 | 986 |2116 | 6.436600e+00 |      --      |    Inf |   1.59%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 44.7s|   300 |   200 | 33613 |  88.8 |   120M |  31 |3126 |9057 |   0 |1004 |  0 |1408 |2250 | 6.436600e+00 |      --      |    Inf |   1.62%
 47.9s|   400 |   275 | 40134 |  82.9 |   124M |  31 |3126 |9399 |8061 |1131 |  2 |1786 |2337 | 6.436600e+00 |      --      |    Inf |   1.62%
 50.4s|   500 |   336 | 44841 |  75.7 |   125M |  31 |3126 |9516 |8060 |1278 |  1 |1923 |2382 | 6.436600e+00 |      --      |    Inf |   1.63%
 53.6s|   600 |   398 | 51899 |  74.8 |   129M |  31 |3126 |9815 |8071 |1371 |  1 |2243 |2468 | 6.436600e+00 |      --      |    Inf |   1.65%
 57.0s|   700 |   454 | 59099 |  74.4 |   130M |  31 |3126 |  10k|8061 |1552 |  1 |2746 |2617 | 6.436600e+00 |      --      |    Inf |   1.69%
 59.9s|   800 |   511 | 65226 |  72.8 |   134M |  31 |3126 |  10k|8064 |1656 |  2 |3075 |2712 | 6.436600e+00 |      --      |    Inf |   1.91%
 63.1s|   900 |   558 | 71760 |  72.0 |   136M |  31 |3126 |  10k|8070 |1814 |  1 |3420 |2824 | 6.436600e+00 |      --      |    Inf |   2.23%
 66.8s|  1000 |   602 | 79388 |  72.4 |   138M |  31 |3126 |  11k|8056 |1930 |  1 |3845 |2954 | 6.436600e+00 |      --      |    Inf |   2.63%
 69.4s|  1100 |   652 | 84387 |  70.4 |   139M |  31 |3126 |  11k|8055 |2041 |  0 |4083 |3031 | 6.436600e+00 |      --      |    Inf |   2.72%
 73.4s|  1200 |   683 | 92072 |  70.9 |   140M |  31 |3126 |  11k|8072 |2300 |  1 |4371 |3210 | 6.436600e+00 |      --      |    Inf |   2.92%
Restart triggered after 50 consecutive estimations that the remaining tree will be large
 76.4s|  1300 |   720 | 99192 |  70.9 |   143M |  31 |3126 |  11k|8073 |2455 |  3 |4807 |3329 | 6.436600e+00 |      --      |    Inf |   2.96%
 79.9s|  1400 |   760 |105659 |  70.5 |   145M |  31 |3126 |  12k|8071 |2625 |  1 |5274 |3451 | 6.436600e+00 |      --      |    Inf |   3.04%
 82.7s|  1500 |   790 |110929 |  69.3 |   147M |  31 |3126 |  12k|8058 |2741 |  1 |5627 |3549 | 6.436600e+00 |      --      |    Inf |   3.20%
 85.5s|  1600 |   827 |117102 |  68.8 |   149M |  31 |3126 |  12k|   0 |2883 |  0 |5788 |3642 | 6.436600e+00 |      --      |    Inf |   3.50%
 88.3s|  1700 |   872 |123304 |  68.4 |   150M |  31 |3126 |  12k|8073 |2978 |  4 |6044 |3746 | 6.436600e+00 |      --      |    Inf |   3.70%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
 91.7s|  1800 |   915 |131445 |  69.1 |   152M |  34 |3126 |  12k|8069 |3165 |  1 |6196 |3789 | 6.436600e+00 |      --      |    Inf |   3.76%
 94.2s|  1900 |   942 |136774 |  68.3 |   152M |  36 |3126 |  12k|8058 |3312 |  1 |6343 |3850 | 6.436600e+00 |      --      |    Inf |   3.97%
 98.2s|  2000 |   981 |144660 |  68.8 |   153M |  36 |3126 |  12k|8068 |3538 |  1 |6479 |3982 | 6.436600e+00 |      --      |    Inf |   4.69%
  101s|  2100 |  1015 |150696 |  68.4 |   154M |  36 |3126 |  12k|8051 |3754 |  1 |6607 |4036 | 6.436600e+00 |      --      |    Inf |   4.99%
  104s|  2200 |  1042 |157597 |  68.5 |   156M |  36 |3126 |  12k|8063 |3820 |  4 |6805 |4164 | 6.436600e+00 |      --      |    Inf |   5.09%
  107s|  2300 |  1079 |165283 |  68.8 |   158M |  36 |3126 |  12k|8068 |4067 |  1 |7026 |4222 | 6.436600e+00 |      --      |    Inf |   5.29%
  109s|  2400 |  1108 |172233 |  68.8 |   158M |  39 |3126 |  13k|8057 |4203 |  2 |7388 |4291 | 6.436600e+00 |      --      |    Inf |   5.36%
  112s|  2500 |  1141 |178792 |  68.7 |   159M |  39 |3126 |  13k|8068 |4299 |  1 |7676 |4387 | 6.436600e+00 |      --      |    Inf |   5.37%
  114s|  2600 |  1173 |184246 |  68.2 |   159M |  39 |3126 |  13k|   0 |4400 |  0 |7896 |4440 | 6.436600e+00 |      --      |    Inf |   5.37%
  116s|  2700 |  1204 |189979 |  67.8 |   162M |  39 |3126 |  13k|8075 |4542 |  1 |8133 |4491 | 6.436600e+00 |      --      |    Inf |   5.37%
  119s|  2800 |  1235 |196088 |  67.5 |   162M |  39 |3126 |  13k|8076 |4694 |  2 |8316 |4546 | 6.436600e+00 |      --      |    Inf |   5.48%
  121s|  2900 |  1277 |201841 |  67.2 |   163M |  39 |3126 |  13k|8068 |4799 |  1 |8552 |4587 | 6.436600e+00 |      --      |    Inf |   5.55%
  124s|  3000 |  1316 |207075 |  66.7 |   164M |  39 |3126 |  14k|   0 |4903 |  0 |8934 |4672 | 6.436600e+00 |      --      |    Inf |   5.56%
  126s|  3100 |  1349 |213128 |  66.5 |   164M |  39 |3126 |  14k|8073 |5030 |  1 |9181 |4719 | 6.436600e+00 |      --      |    Inf |   5.72%
  129s|  3200 |  1387 |219257 |  66.3 |   166M |  39 |3126 |  14k|8064 |5119 |  1 |9445 |4802 | 6.436600e+00 |      --      |    Inf |   5.73%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  132s|  3300 |  1431 |226463 |  66.5 |   171M |  41 |3126 |  14k|8067 |5330 |  1 |9718 |4868 | 6.436600e+00 |      --      |    Inf |   5.80%
  134s|  3400 |  1468 |231494 |  66.0 |   171M |  41 |3126 |  14k|8060 |5433 |  1 |9833 |4917 | 6.436600e+00 |      --      |    Inf |   5.82%
  137s|  3500 |  1507 |237340 |  65.8 |   174M |  41 |3126 |  14k|   0 |5529 |  0 |  10k|4953 | 6.436600e+00 |      --      |    Inf |   5.85%
  139s|  3600 |  1551 |242143 |  65.3 |   175M |  41 |3126 |  14k|   0 |5593 |  0 |  10k|5012 | 6.436600e+00 |      --      |    Inf |   5.86%
  142s|  3700 |  1581 |248540 |  65.3 |   176M |  41 |3126 |  14k|   0 |5705 |  0 |  10k|5074 | 6.436600e+00 |      --      |    Inf |   5.88%
  144s|  3800 |  1622 |255526 |  65.4 |   177M |  41 |3126 |  14k|8070 |5842 |  1 |  11k|5097 | 6.436600e+00 |      --      |    Inf |   5.89%
  146s|  3900 |  1659 |260426 |  65.0 |   178M |  41 |3126 |  14k|   0 |5960 |  0 |  11k|5112 | 6.436600e+00 |      --      |    Inf |   5.90%
  148s|  4000 |  1702 |266113 |  64.8 |   179M |  41 |3126 |  14k|8070 |6079 |  1 |  11k|5158 | 6.436600e+00 |      --      |    Inf |   5.91%
  151s|  4100 |  1739 |271086 |  64.4 |   180M |  41 |3126 |  14k|8065 |6145 |  1 |  11k|5217 | 6.436600e+00 |      --      |    Inf |   5.92%
  153s|  4200 |  1769 |277675 |  64.4 |   180M |  41 |3126 |  14k|   0 |6313 |  0 |  12k|5268 | 6.436600e+00 |      --      |    Inf |   5.98%
  156s|  4300 |  1818 |284169 |  64.5 |   181M |  41 |3126 |  14k|8057 |6451 |  1 |  12k|5299 | 6.436600e+00 |      --      |    Inf |   5.99%
  158s|  4400 |  1846 |288203 |  63.9 |   183M |  41 |3126 |  14k|   0 |6548 |  0 |  12k|5336 | 6.436600e+00 |      --      |    Inf |   6.03%
  160s|  4500 |  1883 |293341 |  63.6 |   184M |  41 |3126 |  14k|8070 |6700 |  1 |  12k|5384 | 6.436600e+00 |      --      |    Inf |   6.05%
  163s|  4600 |  1914 |298076 |  63.3 |   185M |  41 |3126 |  14k|8069 |6827 |  4 |  12k|5442 | 6.436600e+00 |      --      |    Inf |   6.06%
  165s|  4700 |  1945 |302312 |  62.8 |   185M |  41 |3126 |  14k|8069 |6948 |  1 |  13k|5485 | 6.436600e+00 |      --      |    Inf |   6.17%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |vars |cons |rows |cuts |sepa|confs|strbr|  dualbound   | primalbound  |  gap   | compl. 
  168s|  4800 |  1975 |307891 |  62.7 |   186M |  41 |3126 |  14k|8065 |7067 |  1 |  13k|5545 | 6.436600e+00 |      --      |    Inf |   6.19%
  170s|  4900 |  2011 |314648 |  62.8 |   186M |  41 |3126 |  14k|8069 |7202 |  1 |  13k|5628 | 6.436600e+00 |      --      |    Inf |   6.22%
  173s|  5000 |  2042 |319152 |  62.4 |   188M |  41 |3126 |  14k|8059 |7311 |  1 |  14k|5700 | 6.436600e+00 |      --      |    Inf |   6.23%
  175s|  5100 |  2076 |324660 |  62.3 |   189M |  41 |3126 |  14k|8064 |7415 |  1 |  14k|5763 | 6.436600e+00 |      --      |    Inf |   6.25%
  178s|  5200 |  2114 |329731 |  62.1 |   190M |  41 |3126 |  14k|   0 |7514 |  0 |  14k|5858 | 6.436600e+00 |      --      |    Inf |   6.25%
  180s|  5300 |  2146 |334459 |  61.8 |   191M |  41 |3126 |  14k|8059 |7667 |  0 |  14k|5881 | 6.436600e+00 |      --      |    Inf |   6.30%
  183s|  5400 |  2183 |340810 |  61.8 |   191M |  41 |3126 |  14k|8055 |7848 |  2 |  15k|5980 | 6.436600e+00 |      --      |    Inf |   6.33%
