FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__1__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-956971.mps.gz
SEED:       1
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz ===========
@02 neos-956971.mps.gz
@03 1686566735
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 1
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 57756 variables (57756 bin, 0 int, 0 impl, 0 cont) and 2527 constraints
feasible solution found by trivial heuristic after 0.3 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       47 del vars, 1 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 2, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 3, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 4, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 7279 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 5, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 6, exhaustive) 47 del vars, 646 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 7, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 8, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 9, medium)     51 del vars, 675 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 10, fast)       51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 11, exhaustive) 51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 12, exhaustive) 99 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 13, fast)       99 del vars, 685 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 14, medium)     103 del vars, 687 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 15, fast)       103 del vars, 693 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 16, exhaustive) 103 del vars, 699 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		12.76 	(matrix graph, 63397 nodes, 773162 edges)
Number of generators:			355 	(max: 1110)
Log10 of symmetry group order:		inf
Number of vars moved by some symmetry:	57608
Total time for symmetry detection:	13.20

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (17 rounds: 17 fast, 11 medium, 9 exhaustive):
 135 deleted vars, 699 deleted constraints, 4 added constraints, 0 tightened bounds, 0 added holes, 274 changed sides, 32031 changed coefficients
 0 implications, 5980 cliques
presolved problem has 57621 variables (57621 bin, 0 int, 0 impl, 0 cont) and 1833 constraints
    634 constraints of type <knapsack>
   1198 constraints of type <setppc>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 0.00222222222222222)
Presolving Time: 18.81
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
p20.3s|     1 |     0 |    25 |     - |  clique|   0 |   - |  57k|1830 |  57k|1829 |   0 |   0 |   0 |-5.749600e+04 |-2.296956e+02 |  Large 
 21.0s|     1 |     0 |   136 |     - |   603M |   0 | 698 |  57k|1830 |  57k|1829 |   0 |   0 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
 26.0s|     1 |     2 |  2097 |     - |   623M |   0 | 698 |  57k|1830 |  57k|1829 |   0 |   0 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
 56.4s|   100 |    99 | 34008 | 342.4 |   656M |  39 | 539 |  57k|1835 |  57k|1829 |   0 |  11 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
o76.1s|   146 |   145 | 53164 | 365.9 |rootsold|  39 |   0 |  57k|1835 |  57k|1829 |   0 |  11 |   0 |-2.378044e+02 |-2.377400e+02 |   0.03%
d79.8s|   151 |   150 | 57300 | 381.3 |linesear|  39 |   - |  57k|1835 |  57k|1829 |   0 |  11 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  131s|   200 |   199 |107304 | 538.7 |   731M |  39 | 519 |  57k|1910 |  57k|1829 |   0 |  86 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  185s|   300 |   299 |157302 | 525.7 |   867M |  39 | 528 |  57k|2096 |  57k|1829 |   0 | 290 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  323s|   400 |   399 |186830 | 468.0 |   956M |  44 | 552 |  57k|2061 |  57k|1829 |   0 | 344 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  368s|   500 |   499 |224344 | 449.4 |   984M |  44 | 493 |  57k|2092 |  57k|1829 |   0 | 407 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  405s|   600 |   599 |249899 | 417.0 |  1008M |  46 | 465 |  57k|2132 |  57k|1829 |   0 | 457 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  460s|   700 |   699 |279132 | 399.2 |  1031M |  46 | 540 |  57k|2162 |  57k|1829 |   0 | 514 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  485s|   800 |   799 |310061 | 387.9 |  1043M |  46 | 528 |  57k|2248 |  57k|1829 |   0 | 607 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  521s|   900 |   899 |335314 | 372.9 |  1068M |  46 | 541 |  57k|2258 |  57k|1829 |   0 | 628 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  572s|  1000 |   999 |368533 | 368.8 |  1095M |  46 | 482 |  57k|2257 |  57k|1829 |   0 | 659 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  597s|  1100 |  1099 |388827 | 353.7 |  1165M |  46 | 492 |  57k|2278 |  57k|1829 |   0 | 709 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  645s|  1200 |  1199 |435629 | 363.2 |  1184M |  47 | 538 |  57k|2299 |  57k|1829 |   0 | 771 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  673s|  1300 |  1299 |455998 | 351.0 |  1212M |  47 | 522 |  57k|2293 |  57k|1829 |   0 | 791 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  814s|  1400 |  1399 |492900 | 352.2 |  1233M |  47 | 487 |  57k|2309 |  57k|1829 |   0 | 844 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  841s|  1500 |  1499 |520111 | 346.9 |  1245M |  49 | 482 |  57k|2277 |  57k|1829 |   0 | 867 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  878s|  1600 |  1599 |555890 | 347.6 |  1251M |  55 | 444 |  57k|2270 |  57k|1829 |   0 | 888 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  925s|  1700 |  1699 |572446 | 336.9 |  1258M |  63 | 436 |  57k|2289 |  57k|1829 |   0 | 918 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  965s|  1800 |  1799 |617371 | 343.1 |  1272M |  63 | 451 |  57k|2374 |  57k|1829 |   0 |1024 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1009s|  1900 |  1899 |648433 | 341.4 |  1291M |  63 | 503 |  57k|2393 |  57k|1829 |   0 |1055 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1040s|  2000 |  1999 |679813 | 340.0 |  1301M |  63 | 446 |  57k|2419 |  57k|1829 |   0 |1108 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1066s|  2100 |  2099 |696519 | 331.8 |  1303M |  65 | 428 |  57k|2409 |  57k|1829 |   0 |1108 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1092s|  2200 |  2199 |708945 | 322.3 |  1319M |  78 | 423 |  57k|2421 |  57k|1829 |   0 |1129 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
