FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/ns1905800.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__1__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   ns1905800.mps.gz
SEED:       1
@01 /home/mcs001/s132664/testsets/IP/miplib2010/ns1905800.mps.gz ===========
@02 ns1905800.mps.gz
@03 1686560032
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 1
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 3228 variables (3030 bin, 3 int, 0 impl, 195 cont) and 8289 constraints
presolving:
(round 1, fast)       0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10242 chg sides, 10173 chg coeffs, 0 upgd conss, 153 impls, 111 clqs
(round 2, fast)       0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 0 upgd conss, 153 impls, 111 clqs
(round 3, exhaustive) 0 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 153 impls, 111 clqs
(round 4, exhaustive) 25 del vars, 0 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 471 impls, 336 clqs
(round 5, fast)       25 del vars, 25 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 471 impls, 336 clqs
(round 6, exhaustive) 50 del vars, 25 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 471 impls, 261 clqs
(round 7, fast)       50 del vars, 50 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 471 impls, 261 clqs
(round 8, exhaustive) 75 del vars, 50 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 673 impls, 6972 clqs
(round 9, fast)       75 del vars, 90 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 673 impls, 6972 clqs
   (0.9s) probing: 1000/3030 (33.0%) - 90 fixings, 0 aggregations, 56334 implications, 0 bound changes
   (1.1s) probing: 1283/3030 (42.3%) - 90 fixings, 0 aggregations, 73280 implications, 0 bound changes
   (1.1s) probing aborted: 1000/1000 successive useless probings
(round 10, exhaustive) 90 del vars, 90 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 6030 impls, 36684 clqs
(round 11, fast)       90 del vars, 120 del conss, 0 add conss, 3 chg bounds, 10533 chg sides, 10464 chg coeffs, 501 upgd conss, 6030 impls, 36684 clqs
   (1.2s) probing: 1383/3030 (45.6%) - 90 fixings, 0 aggregations, 78773 implications, 0 bound changes
   (1.2s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.03 	(matrix graph, 26550 nodes, 75180 edges)
Number of generators:			1 	(max: 1500)
Order of symmetry group:		2
Log10 of symmetry group order:		0.3
Number of vars moved by some symmetry:	336
Total time for symmetry detection:	0.04

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (12 rounds: 12 fast, 6 medium, 6 exhaustive):
 90 deleted vars, 120 deleted constraints, 0 added constraints, 3 tightened bounds, 0 added holes, 10533 changed sides, 10464 changed coefficients
 6548 implications, 36736 cliques
presolved problem has 3138 variables (2940 bin, 3 int, 0 impl, 195 cont) and 8170 constraints
    273 constraints of type <varbound>
    108 constraints of type <setppc>
   7788 constraints of type <linear>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 0.001)
Presolving Time: 1.19

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  1.4s|     1 |     0 |   415 |     - |    57M |   0 | 104 |3138 |8174 |3138 |8169 |   0 |   4 |   0 | 6.436600e+00 |      --      |    Inf 
  2.2s|     1 |     2 |  2998 |     - |    61M |   0 | 104 |3138 |8174 |3138 |8169 |   0 |   4 |   0 | 6.436600e+00 |      --      |    Inf 
  3.6s|   100 |    87 |  8098 |  51.5 |    65M |  21 |  63 |3138 |8238 |3138 |8169 |   0 |  68 |   0 | 6.436600e+00 |      --      |    Inf 
  4.7s|   200 |   171 | 13381 |  52.2 |    67M |  27 |  55 |3138 |8283 |3138 |8169 |   0 | 113 |   0 | 6.436600e+00 |      --      |    Inf 
  6.0s|   300 |   249 | 18100 |  50.5 |    69M |  27 |  67 |3138 |8379 |3138 |8169 |   0 | 211 |   0 | 6.436600e+00 |      --      |    Inf 
  6.7s|   400 |   323 | 21019 |  45.2 |    71M |  27 |  71 |3138 |8424 |3138 |8169 |   0 | 256 |   0 | 6.436600e+00 |      --      |    Inf 
  7.9s|   500 |   377 | 23944 |  42.0 |    72M |  45 |  48 |3138 |8531 |3138 |8169 |   0 | 364 |   0 | 6.436600e+00 |      --      |    Inf 
  8.3s|   600 |   421 | 25604 |  37.7 |    73M |  45 |  82 |3138 |8724 |3138 |8169 |   0 | 560 |   0 | 6.436600e+00 |      --      |    Inf 
  8.9s|   700 |   486 | 27573 |  35.2 |    75M |  45 |  47 |3138 |8776 |3138 |8169 |   0 | 612 |   0 | 6.436600e+00 |      --      |    Inf 
  9.4s|   800 |   532 | 29801 |  33.5 |    77M |  45 |  35 |3138 |8916 |3138 |8169 |   0 | 752 |   0 | 6.436600e+00 |      --      |    Inf 
 10.0s|   900 |   575 | 32086 |  32.4 |    78M |  45 |  53 |3138 |9032 |3138 |8169 |   0 | 868 |   0 | 6.436600e+00 |      --      |    Inf 
 10.3s|  1000 |   607 | 33298 |  30.3 |    79M |  45 |  38 |3138 |9231 |3138 |8169 |   0 |1068 |   0 | 6.436600e+00 |      --      |    Inf 
 10.8s|  1100 |   658 | 35062 |  29.2 |    80M |  45 |  54 |3138 |9319 |3138 |8169 |   0 |1156 |   0 | 6.436600e+00 |      --      |    Inf 
 11.2s|  1200 |   698 | 36898 |  28.3 |    80M |  45 |   - |3138 |9406 |   0 |   0 |   0 |1246 |   0 | 6.436600e+00 |      --      |    Inf 
 11.7s|  1300 |   746 | 39153 |  27.8 |    81M |  45 |   - |3138 |9496 |   0 |   0 |   0 |1337 |   0 | 6.436600e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 12.3s|  1400 |   790 | 41416 |  27.5 |    81M |  45 |  83 |3138 |9593 |3138 |8169 |   0 |1434 |   0 | 6.436600e+00 |      --      |    Inf 
 13.0s|  1500 |   836 | 44496 |  27.7 |    82M |  45 |  42 |3138 |9706 |3138 |8169 |   0 |1547 |   0 | 6.436600e+00 |      --      |    Inf 
 13.4s|  1600 |   870 | 46184 |  27.0 |    83M |  45 |  40 |3138 |9707 |3138 |8169 |   0 |1548 |   0 | 6.436600e+00 |      --      |    Inf 
 13.9s|  1700 |   900 | 48090 |  26.5 |    84M |  45 |  39 |3138 |9948 |3138 |8169 |   0 |1790 |   0 | 6.436600e+00 |      --      |    Inf 
 14.3s|  1800 |   928 | 49599 |  25.9 |    84M |  45 |  79 |3138 |  10k|3138 |8169 |   0 |1982 |   0 | 6.436600e+00 |      --      |    Inf 
 14.7s|  1900 |   964 | 51343 |  25.5 |    86M |  45 |   - |3138 |  10k|   0 |   0 |   0 |2007 |   0 | 6.436600e+00 |      --      |    Inf 
 15.2s|  2000 |  1007 | 53339 |  25.2 |    86M |  45 |  28 |3138 |  10k|3138 |8169 |   0 |2175 |   0 | 6.436600e+00 |      --      |    Inf 
 15.7s|  2100 |  1041 | 55173 |  24.9 |    88M |  45 |   - |3138 |  10k|   0 |   0 |   0 |2355 |   0 | 6.436600e+00 |      --      |    Inf 
 16.1s|  2200 |  1063 | 56250 |  24.2 |    89M |  45 |  37 |3138 |  10k|3138 |8169 |   0 |2442 |   0 | 6.436600e+00 |      --      |    Inf 
 16.5s|  2300 |  1088 | 57631 |  23.8 |    90M |  45 |   - |3138 |  10k|   0 |   0 |   0 |2572 |   0 | 6.436600e+00 |      --      |    Inf 
 16.9s|  2400 |  1106 | 58647 |  23.2 |    91M |  49 |   - |3138 |  10k|   0 |   0 |   0 |2758 |   0 | 6.436600e+00 |      --      |    Inf 
