FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-954925.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__2__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-954925.mps.gz
SEED:       2
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-954925.mps.gz ===========
@02 neos-954925.mps.gz
@03 1686566797
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 2
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 84718 variables (84718 bin, 0 int, 0 impl, 0 cont) and 2989 constraints
feasible solution found by trivial heuristic after 0.8 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       47 del vars, 1 del conss, 0 add conss, 0 chg bounds, 172 chg sides, 1881 chg coeffs, 0 upgd conss, 0 impls, 5320 clqs
(round 2, exhaustive) 47 del vars, 411 del conss, 0 add conss, 0 chg bounds, 172 chg sides, 1881 chg coeffs, 0 upgd conss, 0 impls, 5320 clqs
(round 3, exhaustive) 47 del vars, 411 del conss, 0 add conss, 0 chg bounds, 172 chg sides, 1881 chg coeffs, 2574 upgd conss, 0 impls, 5320 clqs
(round 4, fast)       47 del vars, 411 del conss, 0 add conss, 0 chg bounds, 172 chg sides, 29087 chg coeffs, 2574 upgd conss, 0 impls, 5320 clqs
(round 5, fast)       47 del vars, 411 del conss, 0 add conss, 0 chg bounds, 514 chg sides, 121409 chg coeffs, 2574 upgd conss, 0 impls, 5320 clqs
(round 6, medium)     2065 del vars, 475 del conss, 30 add conss, 0 chg bounds, 6814 chg sides, 135307 chg coeffs, 2574 upgd conss, 0 impls, 5320 clqs
(round 7, fast)       2065 del vars, 479 del conss, 34 add conss, 0 chg bounds, 6827 chg sides, 138347 chg coeffs, 2574 upgd conss, 0 impls, 5323 clqs
(round 8, medium)     2065 del vars, 488 del conss, 43 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5485 clqs
(round 9, fast)       2065 del vars, 497 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5493 clqs
(round 10, exhaustive) 2065 del vars, 616 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5493 clqs
(round 11, exhaustive) 2065 del vars, 652 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5493 clqs
(round 12, exhaustive) 2065 del vars, 681 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5493 clqs
(round 13, exhaustive) 2065 del vars, 696 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2574 upgd conss, 0 impls, 5493 clqs
(round 14, exhaustive) 2065 del vars, 696 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2578 upgd conss, 0 impls, 5493 clqs
(round 15, medium)     2069 del vars, 700 del conss, 52 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2578 upgd conss, 0 impls, 5497 clqs
(round 16, fast)       2069 del vars, 704 del conss, 56 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2578 upgd conss, 0 impls, 5501 clqs
(round 17, exhaustive) 2069 del vars, 704 del conss, 56 add conss, 0 chg bounds, 6836 chg sides, 140273 chg coeffs, 2582 upgd conss, 0 impls, 5501 clqs
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		29.16 	(matrix graph, 90489 nodes, 1398538 edges)
Number of generators:			356 	(max: 774)
Log10 of symmetry group order:		inf
Number of vars moved by some symmetry:	82600
Total time for symmetry detection:	29.90

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (18 rounds: 18 fast, 12 medium, 9 exhaustive):
 2109 deleted vars, 704 deleted constraints, 56 added constraints, 0 tightened bounds, 0 added holes, 6836 changed sides, 140273 changed coefficients
 0 implications, 42180 cliques
presolved problem has 82609 variables (82609 bin, 0 int, 0 impl, 0 cont) and 2342 constraints
   1090 constraints of type <knapsack>
   1251 constraints of type <setppc>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 0.00222222222222222)
Presolving Time: 47.08
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 49.7s|     1 |     0 |   198 |     - |   896M |   0 | 987 |  82k|2339 |  82k|2338 |   0 |   0 |   0 |-2.378144e+02 | 0.000000e+00 |    Inf 
r50.1s|     1 |     0 |   303 |     - |rounding|   0 | 940 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-7.069556e+01 | 236.39%
r50.3s|     1 |     0 |   303 |     - |shifting|   0 | 940 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-7.169556e+01 | 231.70%
i50.4s|     1 |     0 |   303 |     - |  oneopt|   0 | 940 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-2.236956e+02 |   6.31%
 62.4s|     1 |     2 |  3792 |     - |   941M |   0 | 940 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-2.236956e+02 |   6.31%
  137s|   100 |   101 | 47041 | 472.1 |   967M |  39 | 758 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-2.236956e+02 |   6.31%
o 174s|   142 |   143 | 63010 | 444.7 |rootsold|  43 |   0 |  82k|2339 |  82k|2338 |   0 |   1 |   0 |-2.378144e+02 |-2.377133e+02 |   0.04%
d 182s|   147 |   148 | 69340 | 472.9 |linesear|  43 |   - |  82k|2375 |  82k|2338 |   0 |  37 |   0 |-2.378144e+02 |-2.377489e+02 |   0.03%
  267s|   200 |   201 |117219 | 587.5 |  1007M |  43 | 712 |  82k|2419 |  82k|2338 |   0 |  81 |   0 |-2.378144e+02 |-2.377489e+02 |   0.03%
d 302s|   217 |   218 |135810 | 627.3 |linesear|  43 |   - |  82k|2478 |  82k|2338 |   0 | 140 |   0 |-2.378144e+02 |-2.377511e+02 |   0.03%
  457s|   300 |   301 |220023 | 734.8 |  1136M |  43 | 747 |  82k|2555 |  82k|2338 |   0 | 220 |   0 |-2.378144e+02 |-2.377511e+02 |   0.03%
d 557s|   372 |   373 |300016 | 807.9 |linesear|  43 |   - |  82k|2627 |  82k|2338 |   0 | 294 |   0 |-2.378144e+02 |-2.377578e+02 |   0.02%
  587s|   400 |   401 |319178 | 799.2 |  1212M |  43 | 761 |  82k|2664 |  82k|2338 |   0 | 338 |   0 |-2.378144e+02 |-2.377578e+02 |   0.02%
  843s|   500 |   501 |370325 | 741.5 |  1230M |  43 | 809 |  82k|2723 |  82k|2338 |   0 | 420 |   0 |-2.378144e+02 |-2.377578e+02 |   0.02%
  973s|   600 |   601 |402063 | 670.7 |  1260M |  44 | 732 |  82k|2738 |  82k|2338 |   0 | 450 |   0 |-2.378144e+02 |-2.377578e+02 |   0.02%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 1126s|   700 |   701 |460672 | 658.6 |  1277M |  44 | 647 |  82k|2781 |  82k|2338 |   0 | 513 |   0 |-2.378144e+02 |-2.377578e+02 |   0.02%
 1301s|   800 |   799 |544844 | 681.5 |  1311M |  55 | 640 |  82k|2825 |  82k|2338 |   0 | 567 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1387s|   900 |   899 |580608 | 645.5 |  1321M |  71 | 545 |  82k|2892 |  82k|2338 |   0 | 639 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1452s|  1000 |   999 |615454 | 615.8 |  1328M |  91 | 487 |  82k|2923 |  82k|2338 |   0 | 677 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1552s|  1100 |  1099 |649598 | 590.8 |  1347M |  96 | 495 |  82k|3032 |  82k|2338 |   0 | 788 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1622s|  1200 |  1199 |685009 | 571.1 |  1360M | 103 | 423 |  82k|3058 |  82k|2338 |   0 | 819 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1673s|  1300 |  1299 |715093 | 550.3 |  1369M | 103 | 467 |  82k|3107 |  82k|2338 |   0 | 871 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1770s|  1400 |  1399 |751106 | 536.7 |  1382M | 105 | 434 |  82k|3144 |  82k|2338 |   0 | 921 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1891s|  1500 |  1499 |784190 | 522.9 |  1390M | 111 | 747 |  82k|3159 |  82k|2338 |   0 | 953 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 1994s|  1600 |  1599 |818206 | 511.5 |  1405M | 118 | 460 |  82k|3220 |  82k|2338 |   0 |1015 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 2058s|  1700 |  1699 |845255 | 497.3 |  1416M | 126 | 454 |  82k|3284 |  82k|2338 |   0 |1096 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 2145s|  1800 |  1799 |885644 | 492.1 |  1430M | 128 | 459 |  82k|3337 |  82k|2338 |   0 |1158 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 2211s|  1900 |  1899 |909174 | 478.6 |  1437M | 128 | 474 |  82k|3372 |  82k|2338 |   0 |1210 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
 2276s|  2000 |  1999 |935652 | 467.9 |  1445M | 131 | 461 |  82k|3443 |  82k|2338 |   0 |1291 |   0 |-2.378128e+02 |-2.377578e+02 |   0.02%
