FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-873061.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__3__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-873061.mps.gz
SEED:       3
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-873061.mps.gz ===========
@02 neos-873061.mps.gz
@03 1686567009
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 3
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 175288 variables (87644 bin, 0 int, 0 impl, 87644 cont) and 93360 constraints
presolving:
(round 1, fast)       852 del vars, 871 del conss, 0 add conss, 156 chg bounds, 0 chg sides, 224 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 2, fast)       1300 del vars, 1736 del conss, 0 add conss, 156 chg bounds, 0 chg sides, 224 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 3, fast)       2531 del vars, 2529 del conss, 0 add conss, 156 chg bounds, 0 chg sides, 224 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 4, fast)       3336 del vars, 2555 del conss, 0 add conss, 156 chg bounds, 0 chg sides, 224 chg coeffs, 0 upgd conss, 0 impls, 0 clqs
(round 5, exhaustive) 3362 del vars, 2555 del conss, 0 add conss, 156 chg bounds, 0 chg sides, 224 chg coeffs, 85958 upgd conss, 0 impls, 0 clqs
   (2.7s) probing: 51/85992 (0.1%) - 0 fixings, 0 aggregations, 0 implications, 0 bound changes
   (2.7s) probing aborted: 50/50 successive totally useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		2.26 	(matrix graph, 444396 nodes, 687704 edges)
Number of generators:			110 	(max: 372)
Log10 of symmetry group order:		43.3
Number of vars moved by some symmetry:	12048
Total time for symmetry detection:	2.75

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (6 rounds: 6 fast, 2 medium, 2 exhaustive):
 3362 deleted vars, 2555 deleted constraints, 0 added constraints, 156 tightened bounds, 0 added holes, 0 changed sides, 224 changed coefficients
 85958 implications, 0 cliques
presolved problem has 171926 variables (85992 bin, 0 int, 0 impl, 85934 cont) and 90806 constraints
  85958 constraints of type <varbound>
   4847 constraints of type <linear>
      1 constraints of type <symmetries>
Presolving Time: 5.14

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
p 7.9s|     1 |     0 | 10290 |     - |shiftand|   0 |   - | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 0.000000e+00 | 2.511331e+05 |    Inf 
i 8.1s|     1 |     0 | 10290 |     - |  oneopt|   0 |   - | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 0.000000e+00 | 1.186051e+05 |    Inf 
 12.1s|     1 |     0 | 14189 |     - |  1363M |   0 |  92 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.186051e+05 |  Large 
r12.2s|     1 |     0 | 14189 |     - |simplero|   0 |  92 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.260301e+02 |  31.40%
L84.6s|     1 |     0 | 37403 |     - |    rens|   0 |  92 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.237637e+02 |  29.04%
 84.8s|     1 |     0 | 37403 |     - |  1481M |   0 |  92 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.237637e+02 |  29.04%
  123s|     1 |     2 | 37403 |     - |  1481M |   0 |  92 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.237637e+02 |  29.04%
r 124s|     6 |     5 | 37946 |6809.4 |simplero|   4 |  84 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.237020e+02 |  28.98%
r 125s|     7 |     6 | 37955 |5676.0 |simplero|   5 |  85 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.237016e+02 |  28.98%
r 125s|     9 |     8 | 37957 |4257.2 |simplero|   7 |  85 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.236617e+02 |  28.93%
r 136s|    23 |    22 | 40908 |1682.2 |simplero|  19 |  76 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.236484e+02 |  28.92%
r 137s|    24 |    23 | 40910 |1609.2 |simplero|  19 |  75 | 171k|  90k| 171k|  90k|   0 |   0 |   0 | 9.591050e+01 | 1.236474e+02 |  28.92%
  807s|   100 |   101 |230545 |2289.4 |  1757M |  32 | 115 | 171k|  90k| 171k|  90k|   0 |   2 |   0 | 9.591050e+01 | 1.236474e+02 |  28.92%
  850s|   200 |   201 |245760 |1215.4 |  1782M |  41 | 117 | 171k|  90k| 171k|  90k|   0 |   5 |   0 | 9.591050e+01 | 1.236474e+02 |  28.92%
L 861s|   224 |   225 |249163 |1099.8 |    rins|  41 | 110 | 171k|  90k| 171k|  90k|   0 |   5 |   0 | 9.591050e+01 | 1.236464e+02 |  28.92%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  944s|   300 |   301 |256429 | 844.6 |  1790M |  41 | 110 | 171k|  90k| 171k|  90k|   0 |   8 |   0 | 9.591050e+01 | 1.236464e+02 |  28.92%
  983s|   400 |   401 |271837 | 671.5 |  1805M |  41 | 115 | 171k|  90k| 171k|  90k|   0 |   9 |   0 | 9.591050e+01 | 1.236464e+02 |  28.92%
L1012s|   445 |   446 |281746 | 625.8 |    rins|  41 | 107 | 171k|  90k| 171k|  90k|   0 |  10 |   0 | 9.591050e+01 | 1.236462e+02 |  28.92%
 1220s|   500 |   501 |288915 | 571.2 |  1819M |  41 | 113 | 171k|  90k| 171k|  90k|   0 |  11 |   0 | 9.591050e+01 | 1.236462e+02 |  28.92%
 1264s|   600 |   601 |308199 | 508.0 |  1827M |  41 | 106 | 171k|  90k| 171k|  90k|   0 |  12 |   0 | 9.591050e+01 | 1.236462e+02 |  28.92%
 1381s|   700 |   701 |347480 | 491.5 |  1836M |  41 | 106 | 171k|  90k| 171k|  90k|   0 |  13 |   0 | 9.591050e+01 | 1.236462e+02 |  28.92%
 1451s|   800 |   801 |371000 | 459.5 |  1844M |  41 | 106 | 171k|  90k| 171k|  90k|   0 |  17 |   0 | 9.591050e+01 | 1.236462e+02 |  28.92%
 1483s|   900 |   901 |380021 | 418.4 |  1850M |  41 | 107 | 171k|  90k| 171k|  90k|   0 |  21 |   0 | 9.593644e+01 | 1.236462e+02 |  28.88%
 1551s|  1000 |  1001 |401921 | 398.4 |  1856M |  41 | 105 | 171k|  90k| 171k|  90k|   0 |  23 |   0 | 9.593644e+01 | 1.236462e+02 |  28.88%
 1624s|  1100 |  1101 |426183 | 384.2 |  1864M |  41 |  96 | 171k|  90k| 171k|  90k|   0 |  27 |   0 | 9.593686e+01 | 1.236462e+02 |  28.88%
 1658s|  1200 |  1201 |439115 | 363.0 |  1870M |  41 | 109 | 171k|  90k| 171k|  90k|   0 |  31 |   0 | 9.593686e+01 | 1.236462e+02 |  28.88%
 1688s|  1300 |  1301 |448019 | 341.9 |  1877M |  41 | 105 | 171k|  90k| 171k|  90k|   0 |  37 |   0 | 9.593686e+01 | 1.236462e+02 |  28.88%
 1758s|  1400 |  1401 |472960 | 335.3 |  1883M |  41 |  88 | 171k|  90k| 171k|  90k|   0 |  39 |   0 | 9.593686e+01 | 1.236462e+02 |  28.88%
 1780s|  1500 |  1501 |475840 | 314.8 |  1890M |  41 |  74 | 171k|  90k| 171k|  90k|   0 |  40 |   0 | 9.593706e+01 | 1.236462e+02 |  28.88%
 1836s|  1600 |  1601 |495950 | 307.7 |  1896M |  41 | 107 | 171k|  90k| 171k|  90k|   0 |  41 |   0 | 9.593706e+01 | 1.236462e+02 |  28.88%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 1870s|  1700 |  1701 |509512 | 297.6 |  1902M |  41 |  81 | 171k|  90k| 171k|  90k|   0 |  42 |   0 | 9.593707e+01 | 1.236462e+02 |  28.88%
 1906s|  1800 |  1801 |513729 | 283.4 |  1908M |  41 | 107 | 171k|  90k| 171k|  90k|   0 |  42 |   0 | 9.593708e+01 | 1.236462e+02 |  28.88%
 1927s|  1900 |  1901 |518844 | 271.2 |  1916M |  41 | 113 | 171k|  90k| 171k|  90k|   0 |  44 |   0 | 9.593708e+01 | 1.236462e+02 |  28.88%
 1952s|  2000 |  2001 |526665 | 261.5 |  1922M |  41 | 111 | 171k|  90k| 171k|  90k|   0 |  45 |   0 | 9.593708e+01 | 1.236462e+02 |  28.88%
 1968s|  2100 |  2101 |530016 | 250.7 |  1929M |  41 | 107 | 171k|  90k| 171k|  90k|   0 |  46 |   0 | 9.593708e+01 | 1.236462e+02 |  28.88%
