FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/neos-935627.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__3__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-935627.mps.gz
SEED:       3
@01 /home/mcs001/s132664/testsets/IP/miplib2010/neos-935627.mps.gz ===========
@02 neos-935627.mps.gz
@03 1686566821
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 3
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

Warning line 7863: row "R7861" for objective function "N" ignored
original problem has 10301 variables (7522 bin, 0 int, 0 impl, 2779 cont) and 7859 constraints
presolving:
(round 1, fast)       2161 del vars, 0 del conss, 0 add conss, 139 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 7034 clqs
(round 2, fast)       2161 del vars, 0 del conss, 0 add conss, 139 chg bounds, 139 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 7034 clqs
(round 3, fast)       2161 del vars, 0 del conss, 0 add conss, 757 chg bounds, 139 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 7034 clqs
(round 4, exhaustive) 2161 del vars, 17 del conss, 0 add conss, 757 chg bounds, 139 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 7034 clqs
(round 5, exhaustive) 2161 del vars, 17 del conss, 0 add conss, 757 chg bounds, 139 chg sides, 0 chg coeffs, 7232 upgd conss, 0 impls, 7034 clqs
(round 6, medium)     2161 del vars, 20 del conss, 2 add conss, 757 chg bounds, 141 chg sides, 8 chg coeffs, 7232 upgd conss, 0 impls, 7034 clqs
   (1.4s) probing: 1000/7530 (13.3%) - 0 fixings, 0 aggregations, 17531 implications, 0 bound changes
   (1.4s) probing: 1001/7530 (13.3%) - 0 fixings, 0 aggregations, 17545 implications, 0 bound changes
   (1.4s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.15 	(matrix graph, 29120 nodes, 80522 edges)
Number of generators:			26 	(max: 1500)
Log10 of symmetry group order:		8.8
Number of vars moved by some symmetry:	5792
Total time for symmetry detection:	0.16

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (7 rounds: 7 fast, 4 medium, 3 exhaustive):
 2161 deleted vars, 20 deleted constraints, 2 added constraints, 757 tightened bounds, 0 added holes, 141 changed sides, 8 changed coefficients
 0 implications, 24579 cliques
presolved problem has 8140 variables (7522 bin, 0 int, 618 impl, 0 cont) and 7842 constraints
    189 constraints of type <knapsack>
   7034 constraints of type <setppc>
    610 constraints of type <linear>
      8 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 1.51

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
t 1.6s|     1 |     0 |     0 |     - | trivial|   0 |   - |8140 |7842 |   0 |   0 |   0 |   0 |   0 |-2.069800e+05 | 2.370000e+04 |    Inf 
p 1.6s|     1 |     0 |     0 |     - |  clique|   0 |   - |8140 |7842 |8140 |7841 |   0 |   0 |   0 |-2.069800e+05 | 5.973000e+03 |    Inf 
p 1.7s|     1 |     0 |    70 |     - | vbounds|   0 |  12 |8140 |7842 |8140 |7841 |   0 |   0 |   0 |-2.069800e+05 | 5.720000e+03 |    Inf 
p18.1s|     1 |     0 |  3190 |     - | vbounds|   0 | 373 |8140 |7860 |8140 |7841 |   0 |  18 |   0 |-2.069800e+05 | 4.285000e+03 |    Inf 
 19.4s|     1 |     0 | 10070 |     - |   101M |   0 |1429 |8140 |7860 |8140 |7841 |   0 |  18 |   0 | 2.598000e+03 | 4.285000e+03 |  64.93%
L47.8s|     1 |     0 | 14399 |     - |    rens|   0 |1429 |8140 |7860 |8140 |7841 |   0 |  18 |   0 | 2.598000e+03 | 3.395000e+03 |  30.68%
 47.9s|     1 |     0 | 14399 |     - |   105M |   0 |1429 |8140 |7860 |8140 |7841 |   0 |  18 |   0 | 2.598000e+03 | 3.395000e+03 |  30.68%
i48.2s|     1 |     0 | 15186 |     - |  oneopt|   0 |   - |8140 |7860 |8140 |7841 |   0 |  18 |   0 | 2.598000e+03 | 3.225000e+03 |  24.13%
 48.8s|     1 |     2 | 15186 |     - |   105M |   0 |1429 |8140 |7860 |8140 |7841 |   0 |  18 |   0 | 2.598000e+03 | 3.225000e+03 |  24.13%
  177s|   100 |   101 |237833 |2324.9 |   169M |  37 | 779 |8140 |7931 |8140 |7841 |   0 |  89 |   0 | 2.598000e+03 | 3.225000e+03 |  24.13%
o 247s|   145 |   146 |344856 |2341.6 |rootsold|  41 |   0 |8140 |7931 |8140 |7841 |   0 |  89 |   0 | 2.598000e+03 | 3.062000e+03 |  17.86%
i 247s|   146 |   145 |344856 |2325.5 |  oneopt|  41 |   - |8140 |7931 |8140 |7841 |   0 |  89 |   0 | 2.598000e+03 | 3.022000e+03 |  16.32%
  320s|   200 |   201 |473772 |2342.2 |   170M |  41 | 755 |8140 |7941 |8140 |7841 |   0 |  99 |   0 | 2.598000e+03 | 3.022000e+03 |  16.32%
  460s|   300 |   301 |709991 |2348.9 |   174M |  41 | 371 |8140 |7953 |8140 |7841 |   0 | 111 |   0 | 2.598000e+03 | 3.022000e+03 |  16.32%
L 534s|   346 |   347 |823846 |2365.7 |    rins|  41 | 378 |8140 |7953 |8140 |7841 |   0 | 111 |   0 | 2.598000e+03 | 2.754000e+03 |   6.00%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  653s|   400 |   401 |  1041k|2591.3 |   178M |  41 | 650 |8140 |7998 |8140 |7841 |   0 | 165 |   0 | 2.598000e+03 | 2.754000e+03 |   6.00%
  806s|   500 |   501 |  1302k|2594.9 |   185M |  41 | 705 |8140 |8072 |8140 |7841 |   0 | 266 |   0 | 2.598000e+03 | 2.754000e+03 |   6.00%
L 938s|   569 |   570 |  1474k|2582.5 |crossove|  41 | 524 |8140 |8081 |8140 |7841 |   0 | 296 |   0 | 2.598000e+03 | 2.683000e+03 |   3.27%
  996s|   600 |   601 |  1580k|2626.5 |   192M |  42 | 737 |8140 |8097 |8140 |7841 |   0 | 316 |   0 | 2.598000e+03 | 2.683000e+03 |   3.27%
 1129s|   700 |   701 |  1795k|2558.0 |   198M |  56 | 219 |8140 |8192 |8140 |7841 |   0 | 414 |   0 | 2.598000e+03 | 2.683000e+03 |   3.27%
