FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__3__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-956971.mps.gz
SEED:       3
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz ===========
@02 neos-956971.mps.gz
@03 1686567049
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 3
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

original problem has 57756 variables (57756 bin, 0 int, 0 impl, 0 cont) and 2527 constraints
feasible solution found by trivial heuristic after 0.4 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       47 del vars, 1 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 2, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 3, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 4, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 7279 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 5, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 6, exhaustive) 47 del vars, 646 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 7, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 8, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 9, medium)     51 del vars, 675 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 10, fast)       51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 11, exhaustive) 51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		14.71 	(matrix graph, 63503 nodes, 777902 edges)
Number of generators:			356 	(max: 1109)
Log10 of symmetry group order:		inf
Number of vars moved by some symmetry:	57660
Total time for symmetry detection:	15.24

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (12 rounds: 12 fast, 8 medium, 7 exhaustive):
 83 deleted vars, 679 deleted constraints, 4 added constraints, 0 tightened bounds, 0 added holes, 274 changed sides, 32031 changed coefficients
 0 implications, 5980 cliques
presolved problem has 57673 variables (57673 bin, 0 int, 0 impl, 0 cont) and 1853 constraints
    634 constraints of type <knapsack>
   1218 constraints of type <setppc>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 0.00222222222222222)
Presolving Time: 21.72
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
p23.6s|     1 |     0 |    25 |     - |  clique|   0 |   - |  57k|1850 |  57k|1849 |   0 |   0 |   0 |-5.754400e+04 |-2.296956e+02 |  Large 
 24.3s|     1 |     0 |   113 |     - |   605M |   0 | 705 |  57k|1850 |  57k|1849 |   0 |   0 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
 30.6s|     1 |     2 |  2417 |     - |   629M |   0 | 705 |  57k|1850 |  57k|1849 |   0 |   0 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
d54.3s|    59 |    60 | 20184 | 346.5 |fracdivi|  35 |   - |  57k|1850 |  57k|1849 |   0 |   0 |   0 |-2.378044e+02 |-2.377600e+02 |   0.02%
d92.9s|    91 |    92 | 53426 | 592.6 |fracdivi|  35 |   - |  57k|1871 |  57k|1849 |   0 |  21 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 99.6s|   100 |   101 | 59670 | 601.8 |   668M |  35 | 542 |  57k|1882 |  57k|1849 |   0 |  32 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  206s|   200 |   201 |118513 | 595.1 |   779M |  35 | 501 |  57k|2081 |  57k|1849 |   0 | 241 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  248s|   300 |   301 |145038 | 484.8 |   814M |  39 | 563 |  57k|2136 |  57k|1849 |   0 | 322 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  292s|   400 |   401 |193709 | 485.3 |   851M |  39 | 536 |  57k|2166 |  57k|1849 |   0 | 388 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  417s|   500 |   501 |227464 | 455.7 |   890M |  39 | 523 |  57k|2243 |  57k|1849 |   0 | 489 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  529s|   600 |   601 |258333 | 431.1 |   902M |  39 | 516 |  57k|2306 |  57k|1849 |   0 | 565 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  569s|   700 |   701 |292211 | 417.9 |   935M |  44 | 538 |  57k|2366 |  57k|1849 |   0 | 637 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  634s|   800 |   801 |319458 | 399.7 |   966M |  44 | 506 |  57k|2392 |  57k|1849 |   0 | 678 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  673s|   900 |   901 |341381 | 379.6 |   988M |  44 | 531 |  57k|2421 |  57k|1849 |   0 | 730 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  742s|  1000 |  1001 |373394 | 373.7 |  1016M |  44 | 515 |  57k|2461 |  57k|1849 |   0 | 794 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  780s|  1100 |  1101 |419143 | 381.3 |  1035M |  44 | 461 |  57k|2596 |  57k|1849 |   0 | 936 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  817s|  1200 |  1201 |451413 | 376.4 |  1056M |  44 | 537 |  57k|2587 |  57k|1849 |   0 | 957 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  900s|  1300 |  1301 |488403 | 375.9 |  1077M |  45 | 526 |  57k|2614 |  57k|1849 |   0 |1018 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  926s|  1400 |  1401 |514193 | 367.5 |  1091M |  47 | 514 |  57k|2636 |  57k|1849 |   0 |1080 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
  973s|  1500 |  1501 |542427 | 361.8 |  1110M |  47 | 507 |  57k|2638 |  57k|1849 |   0 |1112 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1040s|  1600 |  1601 |576265 | 360.3 |  1112M |  47 | 535 |  57k|2629 |  57k|1849 |   0 |1132 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1093s|  1700 |  1701 |603864 | 355.4 |  1158M |  47 | 505 |  57k|2637 |  57k|1849 |   0 |1183 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1124s|  1800 |  1801 |628766 | 349.5 |  1162M |  49 | 535 |  57k|2664 |  57k|1849 |   0 |1234 |   0 |-2.378044e+02 |-2.377689e+02 |   0.01%
