FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/neos-937815.mps.gz
SETTINGS:   settings_isopr_minimalindexbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_minimalindexbranching_avoidsubtreenodes__4__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-937815.mps.gz
SEED:       4
@01 /home/mcs001/s132664/testsets/IP/miplib2010/neos-937815.mps.gz ===========
@02 neos-937815.mps.gz
@03 1686567750
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_minimalindexbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 4
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE
usebranchfirst = TRUE


solving problem ...

Warning line 9255: row "R9253" for objective function "N" ignored
Warning line 9256: row "R9254" for objective function "N" ignored
original problem has 11646 variables (8876 bin, 0 int, 0 impl, 2770 cont) and 9251 constraints
presolving:
(round 1, fast)       2036 del vars, 0 del conss, 0 add conss, 160 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 2, fast)       2036 del vars, 0 del conss, 0 add conss, 160 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 3, fast)       2036 del vars, 0 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 4, exhaustive) 2036 del vars, 44 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 5, exhaustive) 2036 del vars, 44 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 8477 upgd conss, 0 impls, 8256 clqs
   (5.1s) probing: 1000/8880 (11.3%) - 0 fixings, 0 aggregations, 19274 implications, 0 bound changes
   (5.1s) probing: 1001/8880 (11.3%) - 0 fixings, 0 aggregations, 19293 implications, 0 bound changes
   (5.1s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.47 	(matrix graph, 34300 nodes, 95266 edges)
Number of generators:			24 	(max: 1500)
Log10 of symmetry group order:		7.8
Number of vars moved by some symmetry:	6578
Total time for symmetry detection:	0.48

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (6 rounds: 6 fast, 3 medium, 3 exhaustive):
 2036 deleted vars, 44 deleted constraints, 0 added constraints, 894 tightened bounds, 0 added holes, 160 changed sides, 0 changed coefficients
 0 implications, 27549 cliques
presolved problem has 9610 variables (8876 bin, 0 int, 734 impl, 0 cont) and 9208 constraints
    217 constraints of type <knapsack>
   8256 constraints of type <setppc>
    730 constraints of type <linear>
      4 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 5.50

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
t 5.7s|     1 |     0 |     0 |     - | trivial|   0 |   - |9610 |9208 |   0 |   0 |   0 |   0 |   0 |-5.515600e+05 | 5.560000e+04 |    Inf 
p 5.8s|     1 |     0 |     0 |     - |  clique|   0 |   - |9610 |9208 |9610 |9207 |   0 |   0 |   0 |-5.515600e+05 | 1.241000e+04 |    Inf 
p 6.0s|     1 |     0 |    37 |     - | vbounds|   0 |   - |9610 |9208 |9610 |9207 |   0 |   0 |   0 |-5.515600e+05 | 1.115700e+04 |    Inf 
  8.8s|     1 |     0 |  9473 |     - |   117M |   0 |1772 |9610 |9221 |9610 |9207 |   0 |  13 |   0 | 2.837000e+03 | 1.115700e+04 | 293.27%
L 146s|     1 |     0 | 14943 |     - |    rens|   0 |1772 |9610 |9222 |9610 |9207 |   0 |  14 |   0 | 2.837000e+03 | 4.908000e+03 |  73.00%
  146s|     1 |     0 | 14943 |     - |   124M |   0 |1772 |9610 |9222 |9610 |9207 |   0 |  14 |   0 | 2.837000e+03 | 4.908000e+03 |  73.00%
i 147s|     1 |     0 | 16460 |     - |  oneopt|   0 |   - |9610 |9222 |9610 |9207 |   0 |  14 |   0 | 2.837000e+03 | 4.548000e+03 |  60.31%
  148s|     1 |     2 | 16460 |     - |   124M |   0 |1772 |9610 |9224 |9610 |9207 |   0 |  16 |   0 | 2.837000e+03 | 4.548000e+03 |  60.31%
d 288s|    97 |    98 |163831 |1592.5 |linesear|  29 |   - |9610 |9226 |9610 |9207 |   0 |  18 |   0 | 2.837000e+03 | 3.952000e+03 |  39.30%
i 289s|    98 |    97 |163831 |1576.1 |  oneopt|  29 |   - |9610 |9226 |9610 |9207 |   0 |  18 |   0 | 2.837000e+03 | 3.772000e+03 |  32.96%
  291s|   100 |   101 |165426 |1560.4 |   143M |  29 | 688 |9610 |9226 |9610 |9207 |   0 |  18 |   0 | 2.837000e+03 | 3.772000e+03 |  32.96%
  443s|   200 |   201 |313804 |1521.9 |   154M |  31 | 909 |9610 |9253 |9610 |9207 |   0 |  45 |   0 | 2.837000e+03 | 3.772000e+03 |  32.96%
  589s|   300 |   301 |469906 |1535.0 |   163M |  31 |1076 |9610 |9263 |9610 |9207 |   0 |  55 |   0 | 2.837000e+03 | 3.772000e+03 |  32.96%
d 688s|   379 |   380 |581343 |1509.0 |distribu|  35 |   - |9610 |9286 |9610 |9207 |   0 |  78 |   0 | 2.837000e+03 | 3.746000e+03 |  32.04%
  703s|   400 |   401 |600028 |1476.4 |   174M |  35 | 502 |9610 |9286 |9610 |9207 |   0 |  78 |   0 | 2.837000e+03 | 3.746000e+03 |  32.04%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  785s|   500 |   501 |704188 |1389.3 |   182M |  37 |1078 |9610 |9309 |9610 |9207 |   0 | 101 |   0 | 2.837000e+03 | 3.746000e+03 |  32.04%
L 880s|   579 |   580 |802166 |1368.9 |crossove|  37 | 897 |9610 |9341 |9610 |9207 |   0 | 134 |   0 | 2.837000e+03 | 3.380000e+03 |  19.14%
  901s|   600 |   601 |823270 |1356.1 |   195M |  37 | 908 |9610 |9341 |9610 |9207 |   0 | 134 |   0 | 2.837000e+03 | 3.380000e+03 |  19.14%
  987s|   700 |   701 |933211 |1319.4 |   199M |  37 | 897 |9610 |9370 |9610 |9207 |   0 | 163 |   0 | 2.837000e+03 | 3.380000e+03 |  19.14%
