FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/fhnw-sq3.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__0__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   fhnw-sq3.mps.gz
SEED:       0
@01 /home/mcs001/s132664/testsets/IP/miplib2017/fhnw-sq3.mps.gz ===========
@02 fhnw-sq3.mps.gz
@03 1686573990
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 2450 variables (2401 bin, 49 int, 0 impl, 0 cont) and 167 constraints
presolving:
(round 1, exhaustive) 0 del vars, 0 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 102 upgd conss, 49 impls, 2303 clqs
   (0.2s) probing: 1000/2401 (41.6%) - 1 fixings, 0 aggregations, 4304 implications, 0 bound changes
   (0.3s) probing: 1326/2401 (55.2%) - 1 fixings, 0 aggregations, 5925 implications, 0 bound changes
   (0.3s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.00 	(matrix graph, 4795 nodes, 14738 edges)
Number of generators:			8 	(max: 1500)
Order of symmetry group:		576
Log10 of symmetry group order:		2.8
Number of vars moved by some symmetry:	686
Total time for symmetry detection:	0.00

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (2 rounds: 2 fast, 2 medium, 2 exhaustive):
 1 deleted vars, 0 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 0 changed sides, 0 changed coefficients
 3358 implications, 4994 cliques
presolved problem has 2449 variables (2400 bin, 0 int, 49 impl, 0 cont) and 168 constraints
      4 constraints of type <varbound>
     98 constraints of type <setppc>
     65 constraints of type <linear>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.25

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  0.3s|     1 |     0 |  1577 |     - |    22M |   0 |  65 |2449 | 228 |2449 | 169 |   0 |  58 |   0 | 0.000000e+00 |      --      |    Inf 
  0.5s|     1 |     2 |  3668 |     - |    23M |   0 |  65 |2449 | 228 |2449 | 169 |   0 |  58 |  11 | 0.000000e+00 |      --      |    Inf 
  3.4s|   100 |    97 | 36308 | 329.7 |    28M |  17 |  82 |2449 | 639 |2449 | 167 |   0 | 472 |  11 | 0.000000e+00 |      --      |    Inf 
  4.5s|   200 |   195 | 38902 | 177.1 |    30M |  18 |  92 |2449 | 766 |2449 | 167 |   0 | 640 |  11 | 0.000000e+00 |      --      |    Inf 
  5.5s|   300 |   287 | 40906 | 124.5 |    30M |  19 |  74 |2449 | 823 |2449 | 167 |   0 | 707 |  11 | 0.000000e+00 |      --      |    Inf 
  6.8s|   400 |   354 | 43578 | 100.0 |    32M |  27 |  65 |2449 | 951 |2449 | 167 |   0 | 844 |  11 | 0.000000e+00 |      --      |    Inf 
  9.1s|   500 |   367 | 44978 |  82.8 |    34M |  50 |  59 |2449 |1093 |2449 | 167 |   0 | 990 |  11 | 0.000000e+00 |      --      |    Inf 
 12.0s|   600 |   365 | 45806 |  70.3 |    35M |  59 |  63 |2449 |1144 |2449 | 167 |   0 |1049 |  11 | 0.000000e+00 |      --      |    Inf 
 13.9s|   700 |   371 | 46274 |  61.0 |    35M |  62 |  49 |2449 |1186 |2449 | 167 |   0 |1092 |  11 | 0.000000e+00 |      --      |    Inf 
 16.0s|   800 |   377 | 47315 |  54.6 |    37M |  62 |  58 |2449 |1265 |2449 | 167 |   0 |1179 |  11 | 0.000000e+00 |      --      |    Inf 
 18.1s|   900 |   382 | 47708 |  49.0 |    37M |  62 |  58 |2449 |1352 |2449 | 167 |   0 |1267 |  11 | 0.000000e+00 |      --      |    Inf 
 20.3s|  1000 |   374 | 48133 |  44.5 |    37M |  62 |  61 |2449 |1405 |2449 | 167 |   0 |1333 |  11 | 0.000000e+00 |      --      |    Inf 
 21.8s|  1100 |   378 | 48879 |  41.1 |    37M |  62 |   - |2449 |1458 |2449 | 167 |   0 |1410 |  11 | 0.000000e+00 |      --      |    Inf 
 23.7s|  1200 |   375 | 49503 |  38.2 |    38M |  62 |  65 |2449 |1558 |2449 | 167 |   0 |1525 |  11 | 0.000000e+00 |      --      |    Inf 
 25.3s|  1300 |   400 | 50310 |  35.9 |    38M |  62 |  69 |2449 |1651 |2449 | 167 |   0 |1636 |  11 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 27.0s|  1400 |   410 | 51149 |  33.9 |    39M |  62 |  66 |2449 |1732 |2449 | 167 |   0 |1735 |  11 | 0.000000e+00 |      --      |    Inf 
