FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__0__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-956971.mps.gz
SEED:       0
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-956971.mps.gz ===========
@02 neos-956971.mps.gz
@03 1686574025
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 57756 variables (57756 bin, 0 int, 0 impl, 0 cont) and 2527 constraints
feasible solution found by trivial heuristic after 0.4 seconds, objective value 0.000000e+00
presolving:
(round 1, fast)       47 del vars, 1 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 2, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 0 upgd conss, 0 impls, 5980 clqs
(round 3, exhaustive) 47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 935 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 4, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 170 chg sides, 7279 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 5, fast)       47 del vars, 396 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 6, exhaustive) 47 del vars, 646 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 7, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2127 upgd conss, 0 impls, 5980 clqs
(round 8, exhaustive) 47 del vars, 671 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 9, medium)     51 del vars, 675 del conss, 0 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 10, fast)       51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2131 upgd conss, 0 impls, 5980 clqs
(round 11, exhaustive) 51 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 12, exhaustive) 99 del vars, 679 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 13, fast)       99 del vars, 685 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 14, medium)     103 del vars, 687 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 15, fast)       103 del vars, 693 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
(round 16, exhaustive) 103 del vars, 699 del conss, 4 add conss, 0 chg bounds, 274 chg sides, 32031 chg coeffs, 2135 upgd conss, 0 impls, 5980 clqs
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		19.52 	(matrix graph, 63397 nodes, 773162 edges)
Number of generators:			355 	(max: 1110)
Log10 of symmetry group order:		inf
Number of vars moved by some symmetry:	57608
Total time for symmetry detection:	20.39

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (17 rounds: 17 fast, 11 medium, 9 exhaustive):
 135 deleted vars, 699 deleted constraints, 4 added constraints, 0 tightened bounds, 0 added holes, 274 changed sides, 32031 changed coefficients
 0 implications, 5980 cliques
presolved problem has 57621 variables (57621 bin, 0 int, 0 impl, 0 cont) and 1833 constraints
    634 constraints of type <knapsack>
   1198 constraints of type <setppc>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 0.00222222222222222)
Presolving Time: 27.16
transformed 1/1 original solutions to the transformed problem space

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
p29.3s|     1 |     0 |    25 |     - |  clique|   0 |   - |  57k|1830 |  57k|1829 |   0 |   0 |   0 |-5.749600e+04 |-2.296956e+02 |  Large 
 30.3s|     1 |     0 |   130 |     - |   603M |   0 | 764 |  57k|1830 |  57k|1829 |   0 |   0 |   0 |-2.378044e+02 |-2.296956e+02 |   3.53%
 60.5s|     1 |     2 |  2091 |     - |   626M |   0 | 764 |  57k|1830 |  57k|1829 |   0 |   0 |  30 |-2.378044e+02 |-2.296956e+02 |   3.53%
r72.4s|    76 |    75 |  6530 |  85.7 |rounding|  75 |   6 |  57k|1830 |  57k|1829 |   0 |   0 |  30 |-2.378044e+02 |-2.347467e+02 |   1.30%
r72.4s|    76 |    77 |  6530 |  85.7 |ziroundi|  75 |   6 |  57k|1830 |  57k|1829 |   0 |   0 |  30 |-2.378044e+02 |-2.357467e+02 |   0.87%
i72.5s|    77 |    35 |  6530 |  84.5 |  oneopt|  76 |   - |  57k|1830 |  57k|1829 |   0 |   0 |  30 |-2.378044e+02 |-2.377467e+02 |   0.02%
 74.1s|   100 |    56 |  7243 |  72.1 |   645M |  76 | 109 |  57k|1851 |  57k|1829 |   0 |  21 |  30 |-2.378044e+02 |-2.377467e+02 |   0.02%
  105s|   200 |   134 | 24191 | 121.0 |   670M |  76 |  89 |  57k|1859 |  57k|1829 |   0 |  75 |  30 |-2.378044e+02 |-2.377467e+02 |   0.02%
  124s|   300 |   188 | 32519 | 108.4 |   723M |  76 | 573 |  57k|1890 |  57k|1829 |   0 | 170 |  30 |-2.378044e+02 |-2.377467e+02 |   0.02%
d 162s|   337 |    59 | 66129 | 196.5 |fracdivi|  76 |   - |  57k|1904 |  57k|1829 |   0 | 194 |  30 |-2.378044e+02 |-2.377622e+02 |   0.02%
d 183s|   361 |    80 | 87563 | 242.9 |linesear|  76 |   - |  57k|1924 |  57k|1829 |   0 | 214 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  213s|   400 |   119 |109498 | 274.2 |   806M |  76 | 567 |  57k|1952 |  57k|1829 |   0 | 246 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  290s|   500 |   217 |173580 | 347.6 |   836M |  76 | 498 |  57k|2028 |  57k|1829 |   0 | 343 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  360s|   600 |   297 |230663 | 384.9 |   876M |  76 | 421 |  57k|2040 |  57k|1829 |   0 | 414 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  445s|   700 |   397 |301020 | 430.5 |   905M |  76 | 517 |  57k|2089 |  57k|1829 |   0 | 506 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  522s|   800 |   497 |359452 | 449.7 |   934M |  76 | 501 |  57k|2156 |  57k|1829 |   0 | 622 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  592s|   900 |   597 |413279 | 459.6 |   974M |  76 | 537 |  57k|2240 |  57k|1829 |   0 | 777 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  669s|  1000 |   695 |474352 | 474.7 |   990M |  76 | 532 |  57k|2265 |  57k|1829 |   0 | 844 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  741s|  1100 |   795 |532416 | 484.4 |  1008M |  76 | 430 |  57k|2299 |  57k|1829 |   0 | 919 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  796s|  1200 |   891 |584989 | 487.8 |  1020M |  76 | 508 |  57k|2362 |  57k|1829 |   0 |1014 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  848s|  1300 |   973 |637638 | 490.8 |  1056M |  76 | 539 |  57k|2378 |  57k|1829 |   0 |1099 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  898s|  1400 |  1073 |681228 | 486.9 |  1068M |  76 | 482 |  57k|2403 |  57k|1829 |   0 |1174 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  955s|  1500 |  1159 |711263 | 474.4 |  1085M |  76 | 420 |  57k|2495 |  57k|1829 |   0 |1302 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
  990s|  1600 |  1227 |746697 | 466.9 |  1094M |  76 | 401 |  57k|2482 |  57k|1829 |   0 |1344 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1026s|  1700 |  1287 |783398 | 461.0 |  1116M |  76 |   - |  57k|2482 |  57k|1829 |   0 |1419 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1056s|  1800 |  1341 |815492 | 453.2 |  1122M |  76 | 369 |  57k|2453 |  57k|1829 |   0 |1430 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
 1084s|  1900 |  1391 |844746 | 444.8 |  1127M |  76 | 403 |  57k|2456 |  57k|1829 |   0 |1470 |  30 |-2.378044e+02 |-2.377689e+02 |   0.01%
