FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-3083784-nive.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__1__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-3083784-nive.mps.gz
SEED:       1
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-3083784-nive.mps.gz ===========
@02 neos-3083784-nive.mps.gz
@03 1686574232
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 1
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 4779 variables (3240 bin, 0 int, 0 impl, 1539 cont) and 2836 constraints
presolving:
(round 1, fast)       396 del vars, 396 del conss, 27 add conss, 1143 chg bounds, 270 chg sides, 270 chg coeffs, 0 upgd conss, 0 impls, 127 clqs
(round 2, fast)       792 del vars, 396 del conss, 27 add conss, 1503 chg bounds, 540 chg sides, 540 chg coeffs, 0 upgd conss, 0 impls, 127 clqs
(round 3, exhaustive) 792 del vars, 405 del conss, 27 add conss, 1503 chg bounds, 540 chg sides, 540 chg coeffs, 0 upgd conss, 0 impls, 127 clqs
(round 4, exhaustive) 792 del vars, 405 del conss, 27 add conss, 1503 chg bounds, 540 chg sides, 540 chg coeffs, 1765 upgd conss, 0 impls, 127 clqs
   (0.2s) probing: 1000/3240 (30.9%) - 0 fixings, 0 aggregations, 2579 implications, 0 bound changes
   (0.2s) probing: 1001/3240 (30.9%) - 0 fixings, 0 aggregations, 2582 implications, 0 bound changes
   (0.2s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.57 	(matrix graph, 11801 nodes, 28134 edges)
Number of generators:			1170 	(max: 1500)
Log10 of symmetry group order:		inf
Number of vars moved by some symmetry:	3987
Total time for symmetry detection:	3.28

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (5 rounds: 5 fast, 3 medium, 3 exhaustive):
 792 deleted vars, 405 deleted constraints, 27 added constraints, 1503 tightened bounds, 0 added holes, 540 changed sides, 540 changed coefficients
 2582 implications, 127 cliques
presolved problem has 3987 variables (3240 bin, 0 int, 27 impl, 720 cont) and 2459 constraints
     18 constraints of type <knapsack>
    127 constraints of type <setppc>
    693 constraints of type <linear>
   1620 constraints of type <logicor>
      1 constraints of type <symmetries>
Presolving Time: 3.60

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  3.6s|     1 |     0 |   125 |     - |    42M |   0 |  39 |3987 |2551 |3987 |2458 |   0 |  92 |   0 | 0.000000e+00 |      --      |    Inf 
o 3.8s|     1 |     0 |   504 |     - |feaspump|   0 |   0 |3987 |2551 |3987 |2458 |   0 |  92 |   0 | 0.000000e+00 | 4.875100e+04 |    Inf 
  3.8s|     1 |     0 |   504 |     - |    44M |   0 |  39 |3987 |2551 |3987 |2458 |   0 |  92 |   0 | 0.000000e+00 | 4.875100e+04 |    Inf 
  3.9s|     1 |     2 |   504 |     - |    44M |   0 |  39 |3987 |2551 |3987 |2458 |   0 |  92 |  23 | 0.000000e+00 | 4.875100e+04 |    Inf 
d 850s|    12 |    13 |  1039 |  48.6 |fracdivi|   5 |   - |3987 |2551 |3987 |2444 |   0 |  92 |  23 | 0.000000e+00 | 4.160100e+04 |    Inf 
d3310s|    46 |    47 |  2254 |  38.9 |veclendi|  11 |   - |3987 |2574 |3987 |2444 |   0 | 136 |  23 | 0.000000e+00 | 3.705100e+04 |    Inf 
d3310s|    50 |    51 |  2377 |  38.2 |linesear|  11 |   - |3987 |2574 |3987 |2444 |   0 | 136 |  23 | 0.000000e+00 | 3.670100e+04 |    Inf 
d3918s|    63 |    64 |  3045 |  41.0 |linesear|  12 |   - |3987 |2581 |3987 |2444 |   0 | 143 |  46 | 0.000000e+00 | 3.555100e+04 |    Inf 
 3918s|   100 |   101 |  4322 |  38.6 |    53M |  21 |  14 |3987 |2648 |3987 |2444 |   0 | 210 |  70 | 0.000000e+00 | 3.555100e+04 |    Inf 
 5114s|   200 |   197 |  6766 |  31.5 |    58M |  25 |  27 |3987 |2889 |3987 |2444 |   0 | 459 | 256 | 0.000000e+00 | 3.555100e+04 |    Inf 
L5713s|   263 |   260 |  8017 |  28.7 |crossove|  28 |  25 |3987 |3013 |3987 |2444 |   0 | 595 | 256 | 0.000000e+00 | 3.540100e+04 |    Inf 
d6317s|   292 |   285 |  8654 |  28.0 |veclendi|  29 |   - |3987 |3092 |3987 |2444 |   0 | 689 | 262 | 1.601000e+03 | 3.525100e+04 |2101.81%
 6318s|   300 |   293 |  8844 |  27.9 |    63M |  29 |  24 |3987 |3098 |3987 |2444 |   0 | 696 | 262 | 1.601000e+03 | 3.525100e+04 |2101.81%
d6318s|   308 |   301 |  8989 |  27.6 |veclendi|  29 |   - |3987 |3123 |3987 |2444 |   0 | 722 | 262 | 1.601000e+03 | 3.525100e+04 |2101.81%
d6319s|   385 |   372 | 10398 |  25.8 |veclendi|  29 |   - |3987 |3088 |3987 |2444 |   0 | 917 | 262 | 1.601000e+03 | 3.105100e+04 |1839.48%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 6319s|   400 |   381 | 10730 |  25.6 |    67M |  32 |   - |3987 |3158 |   0 |   0 |   0 | 996 | 303 | 1.601000e+03 | 3.105100e+04 |1839.48%
 6320s|   500 |   449 | 12161 |  23.4 |    71M |  32 |   - |3987 |3237 |   0 |   0 |   0 |1120 | 303 | 1.601000e+03 | 3.105100e+04 |1839.48%
d6320s|   559 |   485 | 13098 |  22.6 |linesear|  32 |   - |3987 |3229 |3987 |2444 |   0 |1178 | 378 | 1.601000e+03 | 2.985100e+04 |1764.52%
 6321s|   600 |   522 | 13822 |  22.2 |    76M |  33 |  25 |3987 |3292 |3987 |2444 |   0 |1260 | 424 | 1.601000e+03 | 2.985100e+04 |1764.52%
 6323s|   700 |   592 | 15228 |  21.1 |    81M |  33 |  22 |3987 |3498 |3987 |2444 |   0 |1546 | 672 | 1.601000e+03 | 2.985100e+04 |1764.52%
L6324s|   759 |   610 | 15928 |  20.3 |crossove|  44 |  24 |3987 |3283 |3987 |2444 |   0 |1594 | 672 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6324s|   800 |   641 | 16688 |  20.3 |    84M |  45 |  32 |3987 |3302 |3987 |2444 |   0 |1642 | 672 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6325s|   900 |   715 | 18080 |  19.6 |    90M |  45 |  19 |3987 |3372 |3987 |2444 |   0 |1751 | 672 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6325s|  1000 |   765 | 19111 |  18.6 |    94M |  45 |  24 |3987 |3446 |3987 |2444 |   0 |1847 | 723 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6326s|  1100 |   843 | 20909 |  18.6 |    97M |  45 |   - |3987 |3580 |   0 |   0 |   0 |2018 | 752 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6327s|  1200 |   899 | 22156 |  18.1 |   100M |  45 |  32 |3987 |3622 |3987 |2444 |   0 |2090 | 752 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6328s|  1300 |   961 | 23648 |  17.8 |   104M |  57 |  14 |3987 |3677 |3987 |2444 |   0 |2159 | 757 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6328s|  1400 |   999 | 24365 |  17.1 |   106M |  61 |  27 |3987 |3738 |3987 |2444 |   0 |2231 | 762 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6328s|  1500 |  1027 | 24997 |  16.3 |   108M |  61 |  28 |3987 |3768 |3987 |2444 |   0 |2287 | 762 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6329s|  1600 |  1061 | 25691 |  15.8 |   110M |  61 |  17 |3987 |3787 |3987 |2444 |   0 |2330 | 762 | 1.920000e+03 | 2.785100e+04 |1350.57%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 6329s|  1700 |  1081 | 26468 |  15.3 |   112M |  61 |  31 |3987 |3814 |3987 |2444 |   0 |2377 | 767 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6329s|  1800 |  1101 | 27552 |  15.0 |   113M |  73 |   - |3987 |3851 |3987 |2444 |   0 |2443 | 778 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6330s|  1900 |  1121 | 28485 |  14.7 |   116M |  73 |   - |3987 |3931 |   0 |   0 |   0 |2560 | 798 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6330s|  2000 |  1137 | 29554 |  14.5 |   118M |  73 |   - |3987 |4054 |3987 |2444 |   0 |2725 | 848 | 1.920000e+03 | 2.785100e+04 |1350.57%
 6331s|  2100 |  1161 | 30324 |  14.2 |   120M |  73 |  21 |3987 |4161 |3987 |2444 |   0 |2874 | 894 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6332s|  2200 |  1191 | 31029 |  13.9 |   122M |  73 |  31 |3987 |4085 |3987 |2444 |   0 |2955 | 910 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6332s|  2300 |  1234 | 31983 |  13.7 |   126M |  73 |   - |3987 |4133 |3987 |2444 |   0 |3118 | 954 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6332s|  2400 |  1266 | 32860 |  13.5 |   129M |  73 |  19 |3987 |4197 |3987 |2444 |   0 |3232 | 986 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6333s|  2500 |  1302 | 33739 |  13.3 |   131M |  73 |  19 |3987 |4217 |3987 |2444 |   0 |3329 |1002 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6334s|  2600 |  1337 | 34637 |  13.1 |   133M |  73 |  20 |3987 |4250 |3987 |2444 |   0 |3466 |1075 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6334s|  2700 |  1381 | 35819 |  13.1 |   137M |  73 |  16 |3987 |4268 |3987 |2444 |   0 |3588 |1141 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6335s|  2800 |  1415 | 36489 |  12.9 |   138M |  73 |  16 |3987 |4267 |3987 |2444 |   0 |3664 |1195 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6335s|  2900 |  1458 | 37294 |  12.7 |   141M |  73 |  18 |3987 |4307 |3987 |2444 |   0 |3776 |1202 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6336s|  3000 |  1487 | 38213 |  12.6 |   143M |  73 |  17 |3987 |4335 |3987 |2444 |   0 |3869 |1227 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6336s|  3100 |  1511 | 38952 |  12.4 |   144M |  73 |  23 |3987 |4382 |3987 |2444 |   0 |3976 |1258 | 2.069000e+03 | 2.785100e+04 |1246.11%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 6336s|  3200 |  1553 | 40154 |  12.4 |   145M |  73 |  26 |3987 |4399 |3987 |2444 |   0 |4052 |1283 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6337s|  3300 |  1586 | 41080 |  12.3 |   145M |  73 |   - |3987 |4435 |3987 |2444 |   0 |4125 |1319 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6338s|  3400 |  1630 | 42259 |  12.3 |   147M |  73 |  15 |3987 |4478 |3987 |2444 |   0 |4206 |1347 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6338s|  3500 |  1666 | 43241 |  12.2 |   148M |  73 |  23 |3987 |4490 |3987 |2444 |   0 |4273 |1364 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6338s|  3600 |  1688 | 43985 |  12.1 |   150M |  73 |   - |3987 |4495 |   0 |   0 |   0 |4304 |1382 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6339s|  3700 |  1717 | 44824 |  12.0 |   150M |  73 |  28 |3987 |4554 |3987 |2444 |   0 |4385 |1386 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6339s|  3800 |  1743 | 45584 |  11.9 |   151M |  73 |   - |3987 |4562 |   0 |   0 |   0 |4427 |1391 | 2.069000e+03 | 2.785100e+04 |1246.11%
 6340s|  3900 |  1773 | 46710 |  11.9 |   152M |  73 |  34 |3987 |4437 |3987 |2444 |   0 |4475 |1426 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6340s|  4000 |  1801 | 47922 |  11.9 |   156M |  73 |  22 |3987 |4441 |3987 |2444 |   0 |4526 |1437 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6341s|  4100 |  1823 | 48806 |  11.8 |   158M |  73 |   - |3987 |4473 |   0 |   0 |   0 |4602 |1453 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6341s|  4200 |  1844 | 49671 |  11.7 |   159M |  73 |  23 |3987 |4504 |3987 |2444 |   0 |4700 |1468 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6341s|  4300 |  1864 | 50344 |  11.6 |   160M |  73 |  20 |3987 |4529 |3987 |2444 |   0 |4796 |1499 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6342s|  4400 |  1886 | 51022 |  11.5 |   161M |  73 |   - |3987 |4525 |   0 |   0 |   0 |4850 |1504 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6342s|  4500 |  1920 | 52158 |  11.5 |   163M |  73 |   - |3987 |4502 |3987 |2444 |   0 |4899 |1515 | 2.628000e+03 | 2.785100e+04 | 959.78%
 6343s|  4600 |  1941 | 52967 |  11.4 |   164M |  73 |  22 |3987 |4496 |3987 |2444 |   0 |4968 |1518 | 2.628000e+03 | 2.785100e+04 | 959.78%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 6343s|  4700 |  1960 | 53625 |  11.3 |   165M |  73 |  21 |3987 |4479 |3987 |2444 |   0 |5021 |1532 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6344s|  4800 |  1980 | 54415 |  11.2 |   166M |  73 |  27 |3987 |4406 |3987 |2444 |   0 |5166 |1582 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6344s|  4900 |  1997 | 55347 |  11.2 |   167M |  73 |   - |3987 |4468 |3987 |2444 |   0 |5371 |1651 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6345s|  5000 |  2037 | 56263 |  11.2 |   170M |  73 |  19 |3987 |4393 |3987 |2444 |   0 |5490 |1701 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6345s|  5100 |  2057 | 56930 |  11.1 |   171M |  73 |  25 |3987 |4399 |3987 |2444 |   0 |5603 |1719 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6346s|  5200 |  2081 | 57550 |  11.0 |   173M |  73 |  19 |3987 |4361 |3987 |2444 |   0 |5691 |1739 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6346s|  5300 |  2111 | 58129 |  10.9 |   173M |  73 |  20 |3987 |4251 |3987 |2444 |   0 |5763 |1767 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6347s|  5400 |  2131 | 58784 |  10.8 |   175M |  73 |  27 |3987 |4214 |3987 |2444 |   0 |5863 |1818 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6347s|  5500 |  2154 | 59371 |  10.7 |   177M |  73 |  23 |3987 |4159 |3987 |2444 |   0 |5914 |1818 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6349s|  5600 |  2190 | 60360 |  10.7 |   178M |  73 |   - |3987 |4118 |   0 |   0 |   0 |6193 |2091 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6350s|  5700 |  2212 | 61266 |  10.7 |   180M |  73 |  32 |3987 |4136 |3987 |2444 |   0 |6421 |2237 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6350s|  5800 |  2239 | 61762 |  10.6 |   185M |  73 |   - |3987 |4164 |   0 |   0 |   0 |6519 |2252 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6350s|  5900 |  2255 | 62479 |  10.5 |   188M |  73 |   - |3987 |4184 |3987 |2444 |   0 |6645 |2271 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6351s|  6000 |  2282 | 63285 |  10.5 |   189M |  73 |   - |3987 |4136 |   0 |   0 |   0 |6717 |2277 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6351s|  6100 |  2302 | 63958 |  10.4 |   189M |  73 |   - |3987 |4070 |   0 |   0 |   0 |6787 |2277 | 2.764000e+03 | 2.785100e+04 | 907.63%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 6352s|  6200 |  2326 | 64795 |  10.4 |   190M |  73 |  31 |3987 |4066 |3987 |2444 |   0 |6909 |2319 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6353s|  6300 |  2378 | 66135 |  10.4 |   192M |  73 |  18 |3987 |4034 |3987 |2444 |   0 |7092 |2509 | 2.764000e+03 | 2.785100e+04 | 907.63%
 6354s|  6400 |  2426 | 67107 |  10.4 |   196M |  73 |   - |3987 |4141 |3987 |2444 |   0 |7258 |2591 | 2.764000e+03 | 2.785100e+04 | 907.63%
