FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/neos-937815.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__1__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-937815.mps.gz
SEED:       1
@01 /home/mcs001/s132664/testsets/IP/miplib2010/neos-937815.mps.gz ===========
@02 neos-937815.mps.gz
@03 1686574065
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 1
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

Warning line 9255: row "R9253" for objective function "N" ignored
Warning line 9256: row "R9254" for objective function "N" ignored
original problem has 11646 variables (8876 bin, 0 int, 0 impl, 2770 cont) and 9251 constraints
presolving:
(round 1, fast)       2036 del vars, 0 del conss, 0 add conss, 160 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 2, fast)       2036 del vars, 0 del conss, 0 add conss, 160 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 3, fast)       2036 del vars, 0 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 4, exhaustive) 2036 del vars, 44 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 8256 clqs
(round 5, exhaustive) 2036 del vars, 44 del conss, 0 add conss, 894 chg bounds, 160 chg sides, 0 chg coeffs, 8477 upgd conss, 0 impls, 8256 clqs
   (4.2s) probing: 1000/8880 (11.3%) - 0 fixings, 0 aggregations, 19218 implications, 0 bound changes
   (4.2s) probing: 1001/8880 (11.3%) - 0 fixings, 0 aggregations, 19243 implications, 0 bound changes
   (4.2s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.34 	(matrix graph, 34300 nodes, 95266 edges)
Number of generators:			24 	(max: 1500)
Log10 of symmetry group order:		7.8
Number of vars moved by some symmetry:	6578
Total time for symmetry detection:	0.35

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (6 rounds: 6 fast, 3 medium, 3 exhaustive):
 2036 deleted vars, 44 deleted constraints, 0 added constraints, 894 tightened bounds, 0 added holes, 160 changed sides, 0 changed coefficients
 0 implications, 27499 cliques
presolved problem has 9610 variables (8876 bin, 0 int, 734 impl, 0 cont) and 9208 constraints
    217 constraints of type <knapsack>
   8256 constraints of type <setppc>
    730 constraints of type <linear>
      4 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 4.56

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
t 4.7s|     1 |     0 |     0 |     - | trivial|   0 |   - |9610 |9208 |   0 |   0 |   0 |   0 |   0 |-5.515600e+05 | 5.560000e+04 |    Inf 
p 4.8s|     1 |     0 |     0 |     - |  clique|   0 |   - |9610 |9208 |9610 |9207 |   0 |   0 |   0 |-5.515600e+05 | 1.241000e+04 |    Inf 
p 5.0s|     1 |     0 |    37 |     - | vbounds|   0 |   - |9610 |9208 |9610 |9207 |   0 |   0 |   0 |-5.515600e+05 | 1.115700e+04 |    Inf 
  7.9s|     1 |     0 | 10183 |     - |   117M |   0 |1878 |9610 |9221 |9610 |9207 |   0 |  13 |   0 | 2.837000e+03 | 1.115700e+04 | 293.27%
L85.9s|     1 |     0 | 15818 |     - |    rens|   0 |1878 |9610 |9223 |9610 |9207 |   0 |  15 |   0 | 2.837000e+03 | 4.614000e+03 |  62.64%
 85.9s|     1 |     0 | 15818 |     - |   124M |   0 |1878 |9610 |9223 |9610 |9207 |   0 |  15 |   0 | 2.837000e+03 | 4.614000e+03 |  62.64%
i86.6s|     1 |     0 | 17350 |     - |  oneopt|   0 |   - |9610 |9223 |9610 |9207 |   0 |  15 |   0 | 2.837000e+03 | 4.524000e+03 |  59.46%
 97.2s|     1 |     2 | 17350 |     - |   125M |   0 |1878 |9610 |9224 |9610 |9207 |   0 |  16 |  20 | 2.837000e+03 | 4.524000e+03 |  59.46%
  358s|   100 |   101 |211580 |2019.3 |   169M |  18 | 727 |9610 |9254 |9610 |9207 |   0 |  46 | 270 | 2.837000e+03 | 4.524000e+03 |  59.46%
d 410s|   144 |   145 |272718 |1825.5 |linesear|  29 |   - |9610 |9278 |9610 |9207 |   0 |  70 | 286 | 2.837000e+03 | 4.177000e+03 |  47.23%
  513s|   200 |   201 |361266 |1756.7 |   180M |  29 | 981 |9610 |9278 |9610 |9207 |   0 |  70 | 334 | 2.837000e+03 | 4.177000e+03 |  47.23%
  654s|   300 |   301 |490768 |1602.3 |   197M |  29 | 547 |9610 |9311 |9610 |9207 |   0 | 103 | 397 | 2.837000e+03 | 4.177000e+03 |  47.23%
L 756s|   344 |   345 |555285 |1584.9 |crossove|  29 | 890 |9610 |9322 |9610 |9207 |   0 | 114 | 427 | 2.837000e+03 | 3.864000e+03 |  36.20%
d 808s|   353 |   354 |603847 |1682.3 |distribu|  29 |   - |9610 |9326 |9610 |9207 |   0 | 118 | 457 | 2.837000e+03 | 2.940000e+03 |   3.63%
  900s|   400 |   401 |707848 |1744.8 |   203M |  44 | 456 |9610 |9380 |9610 |9207 |   0 | 177 | 487 | 2.837000e+03 | 2.940000e+03 |   3.63%
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 1045s|   500 |   501 |856943 |1693.9 |   205M |  83 | 337 |9610 |9400 |9610 |9207 |   0 | 200 | 527 | 2.837000e+03 | 2.940000e+03 |   3.63%
 1259s|   600 |   601 |  1077k|1778.8 |   212M |  83 | 719 |9610 |9499 |9610 |9207 |   0 | 300 | 614 | 2.837000e+03 | 2.940000e+03 |   3.63%
 1461s|   700 |   701 |  1300k|1843.1 |   217M |  83 | 850 |9610 |9609 |9610 |9207 |   0 | 412 | 719 | 2.837000e+03 | 2.940000e+03 |   3.63%
 1694s|   800 |   799 |  1554k|1930.5 |   220M |  84 | 943 |9610 |9699 |9610 |9207 |   0 | 503 | 800 | 2.837000e+03 | 2.940000e+03 |   3.63%
