FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/no-ip-65059.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__1__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   no-ip-65059.mps.gz
SEED:       1
@01 /home/mcs001/s132664/testsets/IP/miplib2017/no-ip-65059.mps.gz ===========
@02 no-ip-65059.mps.gz
@03 1686574454
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 1
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 2232 variables (2187 bin, 45 int, 0 impl, 0 cont) and 2547 constraints
presolving:
(round 1, fast)       0 del vars, 9 del conss, 0 add conss, 27 chg bounds, 720 chg sides, 720 chg coeffs, 0 upgd conss, 72 impls, 0 clqs
(round 2, exhaustive) 0 del vars, 9 del conss, 0 add conss, 36 chg bounds, 2070 chg sides, 2070 chg coeffs, 0 upgd conss, 72 impls, 0 clqs
(round 3, exhaustive) 0 del vars, 9 del conss, 0 add conss, 36 chg bounds, 2070 chg sides, 2070 chg coeffs, 279 upgd conss, 72 impls, 0 clqs
   (0.2s) probing: 1000/2187 (45.7%) - 0 fixings, 0 aggregations, 5389 implications, 0 bound changes
   (0.2s) probing: 1001/2187 (45.8%) - 0 fixings, 0 aggregations, 5390 implications, 0 bound changes
   (0.2s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.01 	(matrix graph, 9270 nodes, 27162 edges)
Number of generators:			0 	(max: 1500)
No symmetry found.
Total time for symmetry detection:	0.01

presolving (4 rounds: 4 fast, 3 medium, 3 exhaustive):
 0 deleted vars, 9 deleted constraints, 0 added constraints, 36 tightened bounds, 0 added holes, 2070 changed sides, 2070 changed coefficients
 1032 implications, 4430 cliques
presolved problem has 2232 variables (2187 bin, 45 int, 0 impl, 0 cont) and 2539 constraints
     36 constraints of type <varbound>
   2259 constraints of type <linear>
    243 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.17
Skip isomorphism pruning, since no symmetries were found.

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  0.2s|     1 |     0 |   153 |     - |    27M |   0 | 515 |2232 |2565 |2232 |2538 |   0 |  25 |   0 | 0.000000e+00 |      --      |    Inf 
  0.6s|     1 |     2 |   563 |     - |    29M |   0 | 515 |2232 |2566 |2232 |2538 |   0 |  26 |  28 | 0.000000e+00 |      --      |    Inf 
  2.1s|   100 |    67 |  6836 |  63.4 |    30M |  38 | 167 |2232 |2685 |2232 |2538 |   0 | 145 |  28 | 0.000000e+00 |      --      |    Inf 
  2.7s|   200 |    62 |  8184 |  38.3 |    30M |  42 | 159 |2232 |2741 |2232 |2538 |   0 | 204 |  28 | 0.000000e+00 |      --      |    Inf 
  3.5s|   300 |    72 | 10031 |  31.7 |    31M |  42 | 209 |2232 |2842 |2232 |2538 |   0 | 305 |  28 | 0.000000e+00 |      --      |    Inf 
  4.1s|   400 |   103 | 12845 |  30.8 |    32M |  42 | 212 |2232 |2958 |2232 |2538 |   4 | 421 |  28 | 0.000000e+00 |      --      |    Inf 
  4.9s|   500 |    94 | 15426 |  29.8 |    33M |  42 | 235 |2232 |3127 |2232 |2538 |   4 | 590 |  28 | 0.000000e+00 |      --      |    Inf 
  5.3s|   600 |   108 | 17649 |  28.5 |    33M |  42 |   - |2232 |3305 |   0 |   0 |   4 | 769 |  28 | 0.000000e+00 |      --      |    Inf 
  5.8s|   700 |   107 | 19492 |  27.1 |    34M |  42 |   - |2232 |3407 |   0 |   0 |   4 | 871 |  28 | 0.000000e+00 |      --      |    Inf 
  6.5s|   800 |   110 | 21726 |  26.5 |    34M |  42 | 344 |2232 |3520 |2232 |2538 |   4 |1000 |  28 | 0.000000e+00 |      --      |    Inf 
  7.1s|   900 |   138 | 25270 |  27.5 |    35M |  42 | 299 |2232 |3575 |2232 |2538 |   4 |1159 |  28 | 0.000000e+00 |      --      |    Inf 
  7.9s|  1000 |   137 | 27758 |  27.2 |    35M |  42 |   - |2232 |3591 |   0 |   0 |   4 |1302 |  28 | 0.000000e+00 |      --      |    Inf 
  8.5s|  1100 |   131 | 29638 |  26.5 |    36M |  42 | 233 |2232 |3547 |2232 |2538 |   4 |1424 |  28 | 0.000000e+00 |      --      |    Inf 
  9.0s|  1200 |   128 | 32250 |  26.4 |    36M |  42 |   - |2232 |3590 |   0 |   0 |   4 |1648 |  28 | 0.000000e+00 |      --      |    Inf 
  9.9s|  1300 |   130 | 34527 |  26.1 |    36M |  42 |   - |2232 |3592 |   0 |   0 |   4 |1788 |  28 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 10.3s|  1400 |   135 | 36321 |  25.6 |    37M |  42 | 327 |2232 |3633 |2232 |2538 |   4 |1959 |  28 | 0.000000e+00 |      --      |    Inf 
 10.9s|  1500 |   127 | 38238 |  25.1 |    37M |  42 |   - |2232 |3669 |2232 |2538 |   4 |2098 |  28 | 0.000000e+00 |      --      |    Inf 
