FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2010/neos-820157.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__2__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-820157.mps.gz
SEED:       2
@01 /home/mcs001/s132664/testsets/IP/miplib2010/neos-820157.mps.gz ===========
@02 neos-820157.mps.gz
@03 1686575009
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 2
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 1200 variables (1200 bin, 0 int, 0 impl, 0 cont) and 1015 constraints
presolving:
(round 1, exhaustive) 0 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 0 impls, 260 clqs
(round 2, exhaustive) 0 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
(round 3, fast)       674 del vars, 55 del conss, 0 add conss, 0 chg bounds, 0 chg sides, 0 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
(round 4, medium)     675 del vars, 55 del conss, 0 add conss, 0 chg bounds, 1 chg sides, 1 chg coeffs, 935 upgd conss, 0 impls, 260 clqs
   (0.0s) probing: 340/525 (64.8%) - 0 fixings, 0 aggregations, 450 implications, 0 bound changes
   (0.0s) probing aborted: 50/50 successive totally useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.01 	(matrix graph, 2545 nodes, 6600 edges)
Number of generators:			22 	(max: 1500)
Log10 of symmetry group order:		10.9
Number of vars moved by some symmetry:	525
Total time for symmetry detection:	0.01

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (5 rounds: 5 fast, 4 medium, 3 exhaustive):
 675 deleted vars, 55 deleted constraints, 0 added constraints, 0 tightened bounds, 0 added holes, 1 changed sides, 1 changed coefficients
 0 implications, 710 cliques
presolved problem has 525 variables (525 bin, 0 int, 0 impl, 0 cont) and 961 constraints
    260 constraints of type <setppc>
     25 constraints of type <linear>
    675 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.04

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  0.1s|     1 |     0 |     0 |     - |    11M |   0 | 149 | 525 | 993 | 525 | 960 |   0 |  32 |   0 | 0.000000e+00 |      --      |    Inf 
  0.2s|     1 |     2 |   304 |     - |    12M |   0 | 149 | 525 |1041 | 525 | 960 |   0 |  33 |  13 | 0.000000e+00 |      --      |    Inf 
  1.2s|   100 |    55 | 11024 | 108.3 |    13M |  19 | 133 | 525 |1332 | 525 | 960 |   0 | 357 |  13 | 0.000000e+00 |      --      |    Inf 
  2.3s|   200 |    97 | 16613 |  82.0 |    14M |  22 | 132 | 525 |1474 | 525 | 960 |   0 | 499 |  13 | 0.000000e+00 |      --      |    Inf 
  3.6s|   300 |   123 | 21858 |  72.1 |    15M |  27 |   - | 525 |1630 |   0 |   0 |   0 | 655 |  13 | 0.000000e+00 |      --      |    Inf 
  5.4s|   400 |   162 | 27139 |  67.3 |    15M |  27 | 115 | 525 |1743 | 525 | 960 |   0 | 773 |  13 | 0.000000e+00 |      --      |    Inf 
  7.1s|   500 |   198 | 33357 |  66.2 |    16M |  27 |   - | 525 |1909 |   0 |   0 |   0 | 998 |  13 | 0.000000e+00 |      --      |    Inf 
  9.0s|   600 |   250 | 39904 |  66.1 |    16M |  27 | 172 | 525 |1921 | 525 | 960 |   0 |1157 |  13 | 0.000000e+00 |      --      |    Inf 
 10.4s|   700 |   275 | 45270 |  64.3 |    16M |  33 |   - | 525 |1890 |   0 |   0 |   0 |1350 |  13 | 0.000000e+00 |      --      |    Inf 
 12.0s|   800 |   293 | 49154 |  61.1 |    16M |  34 | 109 | 525 |1808 | 525 | 960 |   0 |1492 |  13 | 0.000000e+00 |      --      |    Inf 
 14.0s|   900 |   339 | 55762 |  61.7 |    16M |  34 | 141 | 525 |1815 | 525 | 960 |   0 |1646 |  13 | 0.000000e+00 |      --      |    Inf 
 15.6s|  1000 |   356 | 60568 |  60.3 |    16M |  34 |   - | 525 |1788 |   0 |   0 |   0 |1813 |  13 | 0.000000e+00 |      --      |    Inf 
 16.8s|  1100 |   386 | 65372 |  59.2 |    16M |  34 | 120 | 525 |1769 | 525 | 960 |   0 |1959 |  13 | 0.000000e+00 |      --      |    Inf 
 18.1s|  1200 |   442 | 71407 |  59.3 |    17M |  34 |  90 | 525 |1837 | 525 | 960 |   0 |2144 |  13 | 0.000000e+00 |      --      |    Inf 
 19.2s|  1300 |   476 | 76133 |  58.4 |    17M |  34 | 118 | 525 |1894 | 525 | 960 |   0 |2338 |  13 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 20.3s|  1400 |   514 | 81275 |  57.9 |    17M |  34 |   - | 525 |2112 | 525 | 960 |   0 |2668 |  13 | 0.000000e+00 |      --      |    Inf 
 21.7s|  1500 |   525 | 85605 |  56.9 |    17M |  34 |  96 | 525 |2174 | 525 | 960 |   0 |2859 |  13 | 0.000000e+00 |      --      |    Inf 
 22.7s|  1600 |   552 | 89720 |  55.9 |    17M |  34 |   - | 525 |2247 |   0 |   0 |   0 |3055 |  13 | 0.000000e+00 |      --      |    Inf 
 23.9s|  1700 |   581 | 93935 |  55.1 |    17M |  34 | 134 | 525 |2284 | 525 | 960 |   0 |3211 |  13 | 0.000000e+00 |      --      |    Inf 
 25.0s|  1800 |   600 | 98219 |  54.4 |    17M |  34 | 109 | 525 |2286 | 525 | 960 |   0 |3461 |  13 | 0.000000e+00 |      --      |    Inf 
 26.0s|  1900 |   619 |102337 |  53.7 |    17M |  34 |   - | 525 |2292 |   0 |   0 |   0 |3617 |  13 | 0.000000e+00 |      --      |    Inf 
 27.1s|  2000 |   645 |107108 |  53.4 |    17M |  34 | 155 | 525 |2257 | 525 | 960 |   0 |3723 |  13 | 0.000000e+00 |      --      |    Inf 
 28.4s|  2100 |   662 |112262 |  53.3 |    17M |  34 | 160 | 525 |2289 | 525 | 960 |   0 |3912 |  13 | 0.000000e+00 |      --      |    Inf 
 29.7s|  2200 |   691 |117421 |  53.3 |    17M |  34 |   - | 525 |2300 |   0 |   0 |   0 |4081 |  13 | 0.000000e+00 |      --      |    Inf 
 31.0s|  2300 |   721 |121852 |  52.9 |    17M |  34 | 116 | 525 |2324 | 525 | 960 |   0 |4291 |  13 | 0.000000e+00 |      --      |    Inf 
 32.2s|  2400 |   760 |127390 |  53.0 |    18M |  34 | 120 | 525 |2349 | 525 | 960 |   0 |4515 |  13 | 0.000000e+00 |      --      |    Inf 
 33.3s|  2500 |   777 |131879 |  52.7 |    18M |  34 | 138 | 525 |2394 | 525 | 960 |   0 |4717 |  13 | 0.000000e+00 |      --      |    Inf 
 34.5s|  2600 |   806 |136601 |  52.4 |    18M |  34 | 172 | 525 |2423 | 525 | 960 |   0 |4893 |  13 | 0.000000e+00 |      --      |    Inf 
 36.2s|  2700 |   827 |141837 |  52.4 |    18M |  34 | 122 | 525 |2420 | 525 | 960 |   0 |5054 |  13 | 0.000000e+00 |      --      |    Inf 
 37.3s|  2800 |   869 |147025 |  52.4 |    18M |  34 | 114 | 525 |2416 | 525 | 960 |   0 |5204 |  13 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 38.7s|  2900 |   886 |151665 |  52.2 |    19M |  34 | 147 | 525 |2423 | 525 | 960 |   0 |5343 |  13 | 0.000000e+00 |      --      |    Inf 
 39.8s|  3000 |   900 |156044 |  51.9 |    19M |  34 |   - | 525 |2402 |   0 |   0 |   0 |5484 |  13 | 0.000000e+00 |      --      |    Inf 
 41.0s|  3100 |   930 |160388 |  51.7 |    19M |  34 |   - | 525 |2450 | 525 | 960 |   0 |5692 |  13 | 0.000000e+00 |      --      |    Inf 
 42.2s|  3200 |   948 |164241 |  51.2 |    19M |  34 |  82 | 525 |2569 | 525 | 960 |   0 |5947 |  13 | 0.000000e+00 |      --      |    Inf 
 43.3s|  3300 |   966 |168709 |  51.0 |    19M |  34 | 127 | 525 |2595 | 525 | 960 |   0 |6147 |  13 | 0.000000e+00 |      --      |    Inf 
 44.5s|  3400 |   994 |172884 |  50.8 |    19M |  34 | 164 | 525 |2628 | 525 | 960 |   0 |6382 |  13 | 0.000000e+00 |      --      |    Inf 
 45.8s|  3500 |  1025 |177442 |  50.6 |    19M |  34 | 106 | 525 |2701 | 525 | 960 |   0 |6629 |  13 | 0.000000e+00 |      --      |    Inf 
 47.2s|  3600 |  1051 |182599 |  50.7 |    19M |  34 | 164 | 525 |2708 | 525 | 960 |   0 |6814 |  13 | 0.000000e+00 |      --      |    Inf 
 48.5s|  3700 |  1099 |188311 |  50.8 |    19M |  34 | 122 | 525 |2757 | 525 | 960 |   0 |7089 |  13 | 0.000000e+00 |      --      |    Inf 
 49.9s|  3800 |  1123 |192518 |  50.6 |    20M |  34 | 127 | 525 |2829 | 525 | 960 |   0 |7323 |  13 | 0.000000e+00 |      --      |    Inf 
 51.5s|  3900 |  1134 |196618 |  50.3 |    20M |  34 |   - | 525 |2995 |   0 |   0 |   0 |7567 |  13 | 0.000000e+00 |      --      |    Inf 
 53.0s|  4000 |  1147 |202475 |  50.6 |    20M |  34 |   - | 525 |3050 |   0 |   0 |   0 |7789 |  13 | 0.000000e+00 |      --      |    Inf 
 54.2s|  4100 |  1153 |206778 |  50.4 |    20M |  34 | 165 | 525 |3050 | 525 | 960 |   0 |7971 |  13 | 0.000000e+00 |      --      |    Inf 
 55.7s|  4200 |  1166 |210227 |  50.0 |    20M |  34 |   - | 525 |3077 | 525 | 960 |   0 |8136 |  13 | 0.000000e+00 |      --      |    Inf 
 57.1s|  4300 |  1191 |215485 |  50.1 |    20M |  34 |   - | 525 |3082 | 525 | 960 |   0 |8363 |  13 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
 58.3s|  4400 |  1206 |219749 |  49.9 |    20M |  34 |   - | 525 |3088 | 525 | 960 |   0 |8586 |  13 | 0.000000e+00 |      --      |    Inf 
 59.7s|  4500 |  1216 |223938 |  49.7 |    20M |  34 | 102 | 525 |3072 | 525 | 960 |   0 |8766 |  13 | 0.000000e+00 |      --      |    Inf 
 61.1s|  4600 |  1228 |229011 |  49.7 |    20M |  34 |   - | 525 |3100 |   0 |   0 |   0 |9007 |  13 | 0.000000e+00 |      --      |    Inf 
 62.2s|  4700 |  1264 |234067 |  49.7 |    20M |  34 |  58 | 525 |3070 | 525 | 960 |   0 |9217 |  13 | 0.000000e+00 |      --      |    Inf 
 63.6s|  4800 |  1306 |239700 |  49.9 |    20M |  34 | 167 | 525 |3155 | 525 | 960 |   0 |9517 |  13 | 0.000000e+00 |      --      |    Inf 
 64.8s|  4900 |  1329 |243637 |  49.7 |    20M |  34 |   - | 525 |3224 | 525 | 960 |   0 |9736 |  13 | 0.000000e+00 |      --      |    Inf 
 66.0s|  5000 |  1359 |247649 |  49.5 |    20M |  34 |   - | 525 |3376 | 525 | 960 |   0 |  10k|  13 | 0.000000e+00 |      --      |    Inf 
