FILENAME:   /home/mcs001/s132664/testsets/IP/miplib2017/neos-5125849-lopori.mps.gz
SETTINGS:   settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes
TIMELIMIT:  7200
OUTPUTNAME: final_miplib_symretope_if_extended_generating_set_cpx_v802__settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes__4__
BINNAME:    bin/symmetries.linux.x86_64.gnu.opt.cpx
BASENAME:   neos-5125849-lopori.mps.gz
SEED:       4
@01 /home/mcs001/s132664/testsets/IP/miplib2017/neos-5125849-lopori.mps.gz ===========
@02 neos-5125849-lopori.mps.gz
@03 1686581534
SCIP version 8.0.2 [precision: 8 byte] [memory: block] [mode: optimized] [LP solver: CPLEX 20.1.0.0] [GitHash: 5f0473c]
Copyright (C) 2002-2022 Konrad-Zuse-Zentrum fuer Informationstechnik Berlin (ZIB)

Symmetry handling routines - (c) Marc Pfetsch, Thomas Rehn, Christopher Hojny.
[GitHash: a1587cb]


Turned off presolver <gateextraction>.
reading parameter file <../settings/settings_isopr_ostrowskidynamicbranching_avoidsubtreenodes.set> ...

Changed settings:
limits/time = 7200
limits/restarts = 0
randomization/randomseedshift = 4
constraints/orbitope/sepafreq = -1
constraints/orbitope/propfreq = 1
presolving/gateextraction/maxrounds = 0
propagating/isoprune/avoidsubtreenodes = TRUE
useisoprune = TRUE


solving problem ...

original problem has 8130 variables (8040 bin, 90 int, 0 impl, 0 cont) and 453 constraints
presolving:
(round 1, fast)       55 del vars, 32 del conss, 91 add conss, 263 chg bounds, 0 chg sides, 0 chg coeffs, 0 upgd conss, 30 impls, 734 clqs
(round 2, fast)       55 del vars, 32 del conss, 151 add conss, 263 chg bounds, 2029 chg sides, 2073 chg coeffs, 0 upgd conss, 30 impls, 734 clqs
(round 3, fast)       55 del vars, 32 del conss, 151 add conss, 263 chg bounds, 3709 chg sides, 3753 chg coeffs, 0 upgd conss, 30 impls, 734 clqs
(round 4, exhaustive) 55 del vars, 32 del conss, 151 add conss, 263 chg bounds, 3710 chg sides, 3753 chg coeffs, 0 upgd conss, 30 impls, 734 clqs
(round 5, exhaustive) 55 del vars, 32 del conss, 151 add conss, 263 chg bounds, 3710 chg sides, 3753 chg coeffs, 243 upgd conss, 30 impls, 734 clqs
   (0.6s) probing: 1000/8017 (12.5%) - 3 fixings, 0 aggregations, 23301 implications, 0 bound changes
   (0.6s) probing: 1005/8017 (12.5%) - 3 fixings, 0 aggregations, 23445 implications, 0 bound changes
   (0.6s) probing aborted: 1000/1000 successive useless probings
Required symmetry:			(1 bin, 0 int, 0 cont); (fixed: 0 bin, 1 int, 0 cont)
Time for symmetry detection:		0.22 	(matrix graph, 17725 nodes, 58152 edges)
Number of generators:			35 	(max: 1500)
Log10 of symmetry group order:		12.6
Number of vars moved by some symmetry:	7806
Total time for symmetry detection:	0.23

Turned off presolver <domcol>.
Turned off presolver <components>.

presolving (6 rounds: 6 fast, 3 medium, 3 exhaustive):
 61 deleted vars, 32 deleted constraints, 151 added constraints, 263 tightened bounds, 0 added holes, 3710 changed sides, 3753 changed coefficients
 6538 implications, 13114 cliques
presolved problem has 8072 variables (8014 bin, 0 int, 58 impl, 0 cont) and 573 constraints
    242 constraints of type <setppc>
    329 constraints of type <linear>
      1 constraints of type <logicor>
      1 constraints of type <symmetries>
transformed objective value is always integral (scale: 1)
Presolving Time: 0.80

 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  0.9s|     1 |     0 |    11 |     - |    66M |   0 | 146 |8072 | 614 |8072 | 572 |   0 |  41 |   0 | 0.000000e+00 |      --      |    Inf 
  1.3s|     1 |     0 |   149 |     - |    70M |   0 | 146 |8072 | 614 |8072 | 568 |   0 |  41 |   0 | 0.000000e+00 |      --      |    Inf 
  1.4s|     1 |     0 |   150 |     - |    71M |   0 | 146 |8072 | 612 |8072 | 569 |   0 |  41 |  12 | 0.000000e+00 |      --      |    Inf 
  1.5s|     1 |     2 |   150 |     - |    71M |   0 | 146 |8072 | 612 |8072 | 569 |   0 |  41 |  24 | 0.000000e+00 |      --      |    Inf 
 38.5s|   100 |    25 |  2028 |  19.0 |    73M |  43 |   - |8072 | 714 |   0 |   0 |   0 | 143 |  24 | 0.000000e+00 |      --      |    Inf 
 87.6s|   200 |    54 |  7492 |  36.9 |    77M |  47 | 166 |8072 |1076 |8072 | 418 |   0 | 512 |  24 | 0.000000e+00 |      --      |    Inf 
  153s|   300 |    66 |  9227 |  30.4 |    77M |  61 | 151 |8072 |1173 |8072 | 418 |   0 | 610 |  24 | 0.000000e+00 |      --      |    Inf 
  220s|   400 |    74 | 11083 |  27.4 |    78M |  78 | 140 |8072 |1239 |8072 | 418 |   0 | 676 |  24 | 0.000000e+00 |      --      |    Inf 
  265s|   500 |    82 | 12802 |  25.4 |    78M |  83 | 153 |8072 |1246 |8072 | 418 |   0 | 684 |  24 | 0.000000e+00 |      --      |    Inf 
  326s|   600 |   102 | 16476 |  27.3 |    80M |  86 | 144 |8072 |1793 |8072 | 418 |   0 |1233 |  24 | 0.000000e+00 |      --      |    Inf 
  382s|   700 |   123 | 20401 |  29.0 |    81M |  86 |   - |8072 |2079 |   0 |   0 |   0 |1524 |  24 | 0.000000e+00 |      --      |    Inf 
  421s|   800 |   149 | 22106 |  27.5 |    82M |  86 |   - |8072 |2254 |   0 |   0 |   0 |1709 |  24 | 0.000000e+00 |      --      |    Inf 
  528s|   900 |   154 | 22694 |  25.1 |    83M |  95 | 133 |8072 |2348 |8072 | 418 |   0 |1812 |  24 | 0.000000e+00 |      --      |    Inf 
  661s|  1000 |   158 | 23098 |  23.0 |    84M | 109 | 129 |8072 |2540 |8072 | 418 |   0 |2016 |  24 | 0.000000e+00 |      --      |    Inf 
  791s|  1100 |   153 | 23620 |  21.4 |    84M | 128 |   - |8072 |2661 |   0 |   0 |   0 |2142 |  24 | 0.000000e+00 |      --      |    Inf 
 time | node  | left  |LP iter|LP it/n|mem/heur|mdpt |frac |vars |cons |cols |rows |cuts |confs|strbr|  dualbound   | primalbound  |  gap   
  843s|  1200 |   159 | 23982 |  19.9 |    84M | 128 |   - |8072 |2710 |   0 |   0 |   0 |2191 |  24 | 0.000000e+00 |      --      |    Inf 
 1149s|  1300 |   163 | 24227 |  18.5 |    85M | 149 |   - |8072 |2790 |   0 |   0 |   0 |2297 |  24 | 0.000000e+00 |      --      |    Inf 
 1402s|  1400 |   171 | 24429 |  17.4 |    86M | 203 |   - |8072 |2994 |   0 |   0 |   0 |2523 |  24 | 0.000000e+00 |      --      |    Inf 
 2206s|  1500 |   173 | 24516 |  16.3 |    86M | 253 | 113 |8072 |3480 |8072 | 418 |   0 |3013 |  24 | 0.000000e+00 |      --      |    Inf 
 2278s|  1600 |   171 | 24735 |  15.4 |    87M | 254 |   - |8072 |3630 |   0 |   0 |   0 |3165 |  24 | 0.000000e+00 |      --      |    Inf 
